,index,date,observer,oc,oce,source
0,1,2021-10-20,Yves Jongen,-1.7,1.0,ExoClock observation
1,2,2021-09-25,Ana\xc3\xabl W\xc3\xbcnsche,1.3,0.9,ExoClock observation
2,3,2021-09-25,Yves Jongen,1.2,1.0,ExoClock observation
3,4,2021-08-31,Yves Jongen,0.9,1.2,ExoClock observation
4,5,2021-08-06,Yves Jongen,3.6,1.0,ExoClock observation
5,6,2021-07-12,Yves Jongen,0.3,1.2,ExoClock observation
6,7,2020-09-19,Carmelo Falco,-2.3,1.7,ExoClock observation
7,8,2020-08-30,Yves Jongen,-0.3,0.9,ExoClock observation
8,9,2020-08-26,Carmelo Falco,2.5,1.4,ExoClock observation
9,0,2011-07-21,Hellier et al. 2012,0.0,0.3,ExoClock literature
