,index,date,observer,oc,oce,source
0,69,2021-06-30,Adam Popowicz,-1.5,4.3,ExoClock observation
1,70,2021-06-11,Mario Morales Aimar,2.7,1.6,ExoClock observation
2,71,2021-03-23,Paul Benni,2.3,0.4,ExoClock observation
3,72,2020-08-03,Yves Jongen,3.2,1.0,ExoClock observation
4,73,2020-05-15,Manfred Raetz,0.2,1.3,ExoClock observation
5,74,2019-09-29,Xesco Rubia,3.2,3.2,ExoClock observation
6,75,2018-07-07,Ana\xc3\xabl W\xc3\xbcnsche,0.6,0.4,ExoClock observation
7,0,2017-07-28,Mallonn et al. 2019,0.2,0.3,ExoClock literature
8,1,2017-06-30,Mallonn et al. 2019,0.2,0.2,ExoClock literature
9,2,2017-06-22,Mallonn et al. 2019,-0.0,0.4,ExoClock literature
10,3,2017-06-18,Mallonn et al. 2019,0.1,0.2,ExoClock literature
11,4,2017-06-18,Mallonn et al. 2019,-0.4,0.1,ExoClock literature
12,5,2017-06-17,Mallonn et al. 2019,0.2,0.3,ExoClock literature
13,6,2017-06-11,Mallonn et al. 2019,0.1,0.3,ExoClock literature
14,8,2017-06-07,Mallonn et al. 2019,-0.1,0.3,ExoClock literature
15,7,2017-06-07,Mallonn et al. 2019,0.2,0.3,ExoClock literature
16,9,2017-06-01,Mallonn et al. 2019,-0.3,0.3,ExoClock literature
17,10,2017-05-30,Mallonn et al. 2019,-0.0,0.2,ExoClock literature
18,11,2017-05-23,Mallonn et al. 2019,0.0,0.2,ExoClock literature
19,12,2017-05-19,Mallonn et al. 2019,0.5,0.3,ExoClock literature
20,13,2017-05-19,Mallonn et al. 2019,0.1,0.2,ExoClock literature
21,14,2017-05-19,Mallonn et al. 2019,-0.2,0.3,ExoClock literature
22,15,2017-05-05,Mallonn et al. 2019,-0.1,0.3,ExoClock literature
23,16,2017-05-04,Mallonn et al. 2019,0.1,0.2,ExoClock literature
24,18,2017-04-23,Mallonn et al. 2019,0.0,0.2,ExoClock literature
25,17,2017-04-23,Mallonn et al. 2019,0.6,0.3,ExoClock literature
26,19,2017-04-18,Mallonn et al. 2019,-0.6,0.6,ExoClock literature
27,21,2017-04-04,Mallonn et al. 2019,-0.1,0.2,ExoClock literature
28,20,2017-04-04,Mallonn et al. 2019,0.6,0.3,ExoClock literature
29,22,2017-03-27,Mallonn et al. 2019,0.1,0.2,ExoClock literature
30,76,2015-07-19,Antonio Marino,0.8,3.0,ExoClock observation
31,23,2011-11-08,Fraine et al. 2013,-0.1,0.1,ExoClock literature
32,24,2011-11-06,Fraine et al. 2013,-0.2,0.1,ExoClock literature
33,25,2011-08-25,Harps\xc3\xb8e et al. 2013,0.6,0.4,ExoClock literature
34,26,2011-08-25,Harps\xc3\xb8e et al. 2013,0.3,0.4,ExoClock literature
35,27,2011-08-25,Harps\xc3\xb8e et al. 2013,-0.7,0.7,ExoClock literature
36,28,2011-08-10,C\xc3\xa1ceres et al. 2014,1.0,0.3,ExoClock literature
37,29,2011-06-14,C\xc3\xa1ceres et al. 2014,1.9,1.4,ExoClock literature
38,30,2011-06-03,Harps\xc3\xb8e et al. 2013,0.3,0.2,ExoClock literature
39,31,2011-05-19,Fraine et al. 2013,-0.0,0.1,ExoClock literature
40,32,2011-05-18,C\xc3\xa1ceres et al. 2014,2.7,1.4,ExoClock literature
41,33,2011-05-18,Fraine et al. 2013,-0.3,0.1,ExoClock literature
42,34,2011-05-16,Fraine et al. 2013,-0.2,0.1,ExoClock literature
