observer,oc,oceu,ocel,date,source
Öztürk et al. 2019,-0.0,1.2,1.2,2017-07-06 09:43:22.108798976,ExoClock literature
Öztürk et al. 2019,-2.2,0.6,0.6,2017-06-22 11:01:50.582394880,ExoClock literature
Marc bretton,-0.432,0.576,0.576,2017-06-15 11:43:55.775999744,ETD
Phil evans,-1.584,0.6912,0.6912,2017-06-06 18:33:08.928000000,ETD
Öztürk et al. 2019,0.2,0.4,0.4,2016-09-11 08:27:59.232023552,ExoClock literature
Nikolaos Paschalis,-0.7,1.3,1.3,2016-08-28 09:47:45.705598976,ExoClock observation
Marc bretton,-1.44,0.504,0.504,2016-08-28 09:47:01.823999744,ETD
Marc bretton,4.32,0.7344,0.7344,2016-08-21 10:33:06.623999744,ETD
Anaël Wünsche,3.4,0.9,0.9,2016-08-21 10:32:11.942434560,ExoClock observation
Anaël Wünsche,2.4,0.3,0.3,2016-08-14 11:11:32.179200000,ExoClock observation
Marc bretton,0.432,0.288,0.288,2016-08-14 11:09:32.543999744,ETD
Anaël Wünsche,2.6,0.7,0.7,2016-08-07 11:52:04.416017408,ExoClock observation
Marc bretton,0.864,0.7632,0.7632,2016-08-07 11:50:22.848000000,ETD
František lomoz,-1.296,1.0224,1.0224,2016-08-07 11:48:09.791999744,ETD
František lomoz,-4.896,1.728,1.728,2016-08-07 11:44:33.792000256,ETD
Aaav astrofili valdera,-10.944,,,2016-06-28 09:30:30.816000000,ETD
Marc bretton,3.024,0.8352,0.8352,2016-06-14 11:05:05.568000000,ETD
Manfred raetz,-1.728,0.5904,0.5904,2016-06-07 11:40:42.239999744,ETD
"Š. gajdoš, j. šubjak",-0.144,0.8928,0.8928,2016-05-31 12:22:39.936000256,ETD
Anaël Wünsche,-1.6,0.4,0.4,2015-08-28 09:04:34.137599744,ExoClock observation
Marc bretton,-2.448,0.4032,0.4032,2015-08-28 09:03:43.775999744,ETD
Antoni vives,-12.096,0.4896,0.4896,2015-07-10 13:36:24.480000000,ETD
