date,observer,oc,oceu,ocel,source
2006-11-07 17:40:33.600000000,Foote,-0.432,5.904,5.904,ETD
2006-11-07 17:33:04.320000000,Foote,-7.92,7.776,7.776,ETD
2006-11-07 17:30:20.159999744,Foote,-10.656,7.776,7.776,ETD
2006-10-25 23:45:01.440000000,Foote,27.216,3.168,3.168,ETD
2006-10-25 23:29:54.239999744,Foote,12.096,2.448,2.448,ETD
2006-10-22 18:44:21.120000000,Foote,2.304,1.728,1.728,ETD
2006-10-22 18:38:26.880000256,Foote,-3.6,2.304,2.304,ETD
2006-10-22 18:32:15.360000256,Foote,-9.792,4.752,4.752,ETD
2006-10-16 09:31:14.879999744,Vanmunster,0.864,3.744,3.744,ETD
2006-09-20 20:29:54.239999744,Foote,-14.112,4.752,4.752,ETD
