date,observer,oc,oceu,ocel,source
2021-10-14 13:08:09.312000000,Anaël wünsche,-3.456,1.728,1.728,ETD
2020-10-17 16:10:21.504000256,Yves jongen,0.288,0.6624,0.6624,ETD
2020-10-01 19:14:20.832000256,Yves jongen,-0.432,0.8784,0.8784,ETD
2020-09-09 13:55:31.008000256,Yves jongen,-1.728,0.9504,0.9504,ETD
2020-08-21 12:46:32.447999744,Yves jongen,-4.32,1.5552,1.5552,ETD
2020-08-05 15:56:25.152000000,Yves jongen,0.864,1.296,1.296,ETD
2013-12-02 18:16:38.784000000,Espinoza et al. (2016),0.0,0.5184,0.5184,ETD
