,index,date,observer,oc,oce,source
0,1,2021-11-08,Yves Jongen,2.3,0.9,ExoClock observation
1,2,2021-10-21,Yves Jongen,2.1,1.7,ExoClock observation
2,3,2021-10-05,Yves Jongen,-0.1,0.9,ExoClock observation
3,4,2021-07-19,Yves Jongen,1.5,1.0,ExoClock observation
4,5,2021-07-01,Yves Jongen,3.6,1.0,ExoClock observation
5,6,2021-06-08,Yves Jongen,1.3,1.4,ExoClock observation
6,7,2021-05-23,Yves Jongen,-1.1,1.4,ExoClock observation
7,8,2021-05-14,Yves Jongen,3.4,1.0,ExoClock observation
8,9,2021-05-14,Ana\xc3\xabl W\xc3\xbcnsche,-0.3,1.4,ExoClock observation
9,10,2020-11-14,Yves Jongen,2.2,1.2,ExoClock observation
10,11,2020-08-17,Yves Jongen,0.9,0.9,ExoClock observation
11,12,2020-08-08,Yves Jongen,0.4,0.9,ExoClock observation
12,13,2020-08-08,Phil Evans,-1.3,1.4,ExoClock observation
13,14,2020-07-25,Yves Jongen,-2.6,1.0,ExoClock observation
14,0,2015-06-30,Lendl et al. 2019,0.0,0.3,ExoClock literature
