,index,date,observer,oc,oce,source
0,32,2021-12-10,Geoffrey Thurston,3.3,1.9,ExoClock observation
1,33,2021-11-07,Giovanni Battista Casalnuovo,0.3,1.9,ExoClock observation
2,34,2021-11-06,Francois Hurter,-0.3,1.4,ExoClock observation
3,35,2021-11-04,Pierre Valeau,-0.1,2.7,ExoClock observation
4,36,2021-10-05,David Wright,-6.1,1.7,ExoClock observation
5,37,2021-08-31,Paolo Arcangelo Matassa,2.9,2.4,ExoClock observation
6,38,2021-06-30,Didier Laloum,1.5,1.3,ExoClock observation
7,39,2021-06-30,Ana\xc3\xabl W\xc3\xbcnsche,-1.6,0.7,ExoClock observation
8,40,2021-05-30,Carmelo Falco,-2.1,1.4,ExoClock observation
9,41,2021-05-30,Carmelo Falco,-2.6,1.6,ExoClock observation
10,42,2020-11-28,Lionel Rousselot,-0.4,2.3,ExoClock observation
11,43,2020-08-22,Stephane Ferratfiat,-0.7,1.0,ExoClock observation
12,44,2020-08-20,jean pascal vignes,-0.0,1.4,ExoClock observation
13,45,2020-07-24,Claudio Lopresti,6.6,1.3,ExoClock observation
14,46,2020-07-23,Pierros Papadeas,1.3,2.4,ExoClock observation
15,48,2020-07-21,Stephen M. Brincat,-0.6,1.3,ExoClock observation
16,50,2020-07-21,Adrian Jones,-2.2,1.2,ExoClock observation
17,47,2020-07-21,Nikolaos Paschalis,3.6,1.7,ExoClock observation
18,49,2020-07-21,John Savage,1.6,1.2,ExoClock observation
19,51,2020-06-21,Mauro Cal\xc3\xb3,-0.7,1.4,ExoClock observation
20,52,2020-06-21,Alberto Tomatis,-1.5,1.4,ExoClock observation
21,53,2020-06-20,Mauro Cal\xc3\xb3,0.8,1.9,ExoClock observation
22,54,2020-06-20,Alberto Tomatis,-1.0,1.3,ExoClock observation
23,55,2019-11-18,Martin Crow,-0.3,2.2,ExoClock observation
24,56,2019-10-20,Dim Stouraitis,4.7,1.4,ExoClock observation
25,57,2019-10-17,Alberto Tomatis,-3.4,1.2,ExoClock observation
26,58,2019-09-17,Yves Jongen,-0.1,1.0,ExoClock observation
27,59,2019-09-17,Martin Crow,-3.4,2.4,ExoClock observation
28,60,2019-09-16,Nikolaos Paschalis,2.4,2.3,ExoClock observation
29,61,2019-09-16,Ana\xc3\xabl W\xc3\xbcnsche,0.6,1.0,ExoClock observation
30,62,2019-09-13,Martin Crow,-0.5,3.5,ExoClock observation
31,63,2019-09-12,Pere Guerra,-1.9,1.0,ExoClock observation
32,64,2019-08-13,Yves Jongen,-0.3,0.7,ExoClock observation
33,65,2019-08-12,Yves Jongen,0.9,0.7,ExoClock observation
34,66,2019-07-13,Ana\xc3\xabl W\xc3\xbcnsche,-0.3,1.3,ExoClock observation
35,67,2019-07-12,Ana\xc3\xabl W\xc3\xbcnsche,0.4,0.7,ExoClock observation
36,0,2018-10-09,Maciejewski et al. 2018,-0.1,0.4,ExoClock literature
37,1,2018-09-06,Maciejewski et al. 2018,-1.1,0.7,ExoClock literature
38,68,2018-09-05,Ana\xc3\xabl W\xc3\xbcnsche,-0.8,1.6,ExoClock observation
39,69,2018-09-04,Yves Jongen,-0.2,1.6,ExoClock observation
40,70,2018-09-03,Yves Jongen,2.3,1.3,ExoClock observation
41,2,2018-09-03,Maciejewski et al. 2018,-0.4,0.9,ExoClock literature
42,71,2018-08-04,Yves Jongen,-1.7,1.7,ExoClock observation
43,3,2018-08-03,Maciejewski et al. 2018,0.4,0.9,ExoClock literature
44,72,2018-08-03,Lionel Rousselot,4.0,1.7,ExoClock observation
45,73,2018-07-03,Nikolaos Paschalis,3.3,2.3,ExoClock observation
46,74,2018-07-02,Yves Jongen,-3.0,2.4,ExoClock observation
47,4,2017-09-29,Maciejewski et al. 2018,-1.3,1.1,ExoClock literature
48,5,2017-09-25,Maciejewski et al. 2018,-0.4,0.7,ExoClock literature
49,6,2017-09-24,Maciejewski et al. 2018,0.0,0.6,ExoClock literature
50,7,2017-08-23,Maciejewski et al. 2018,0.4,0.6,ExoClock literature
51,8,2017-07-23,Maciejewski et al. 2018,-0.7,0.4,ExoClock literature
52,9,2017-06-22,Maciejewski et al. 2018,0.6,0.7,ExoClock literature
53,10,2017-06-11,Patra et al. 2020,0.7,0.9,ExoClock literature
54,11,2017-06-10,Patra et al. 2020,0.5,0.7,ExoClock literature
55,12,2016-11-21,Maciejewski et al. 2018,-0.8,1.0,ExoClock literature
56,13,2015-12-07,Oberst et al. 2017,1.1,2.0,ExoClock literature
57,14,2015-12-07,Oberst et al. 2017,-0.8,1.6,ExoClock literature
58,15,2015-11-04,Oberst et al. 2017,1.9,1.6,ExoClock literature
59,16,2015-11-04,Oberst et al. 2017,0.6,0.9,ExoClock literature
60,17,2015-11-04,Oberst et al. 2017,0.4,1.0,ExoClock literature
61,18,2015-11-04,Oberst et al. 2017,0.3,0.8,ExoClock literature
62,19,2015-11-03,Oberst et al. 2017,-1.1,1.0,ExoClock literature
63,20,2015-11-02,Oberst et al. 2017,0.8,1.2,ExoClock literature
64,21,2015-08-04,Oberst et al. 2017,1.6,1.1,ExoClock literature
65,22,2015-07-25,Oberst et al. 2017,-0.2,1.6,ExoClock literature
66,25,2015-06-25,Oberst et al. 2017,-0.2,1.0,ExoClock literature
67,26,2015-06-25,Oberst et al. 2017,-1.8,2.2,ExoClock literature
68,23,2015-06-25,Oberst et al. 2017,1.4,1.3,ExoClock literature
69,24,2015-06-25,Oberst et al. 2017,0.3,1.6,ExoClock literature
70,27,2015-06-23,Oberst et al. 2017,0.9,1.7,ExoClock literature
71,28,2015-05-26,Oberst et al. 2017,-3.1,2.7,ExoClock literature
72,29,2015-05-24,Oberst et al. 2017,3.8,2.3,ExoClock literature
73,30,2015-05-24,Oberst et al. 2017,-0.6,1.4,ExoClock literature
74,31,2015-05-23,Oberst et al. 2017,-0.9,0.7,ExoClock literature
