,date,observer,oc,oce,source
0,2021-11-22,Yves Jongen,-3.1,1.0,ExoClock observation
1,2021-11-21,Yves Jongen,-3.7,1.6,ExoClock observation
2,2021-11-20,Yves Jongen,-2.2,1.2,ExoClock observation
