,date,observer,oc,oce,source
0,2022-02-05,Yves Jongen,7.7,2.6,ExoClock observation
1,2022-01-09,Adrian Jones,6.7,1.3,ExoClock observation
2,2022-01-06,Simon Dawes,13.7,2.0,ExoClock observation
3,2022-01-06,Martin Crow,12.9,0.9,ExoClock observation
