,index,date,observer,oc,oce,source
0,11,2022-01-30,Paolo Arcangelo Matassa,-1.1,1.4,ExoClock observation
1,13,2022-01-23,Mercedes Correa,-3.3,1.3,ExoClock observation
2,12,2022-01-23,Andras Dan,-2.7,1.3,ExoClock observation
3,14,2021-10-22,Adrian Jones,0.8,1.7,ExoClock observation
4,16,2021-02-20,Manfred Raetz,-1.4,1.3,ExoClock observation
5,15,2021-02-20,Roland Casali,0.2,2.9,ExoClock observation
6,18,2020-11-19,Yves Jongen,0.2,1.4,ExoClock observation
7,17,2020-11-19,Riccardo Ciantini,0.4,0.6,ExoClock observation
8,0,2016-01-09,Wang et al. 2017,-0.7,1.0,ExoClock literature
9,1,2015-02-13,Wang et al. 2017,0.7,0.6,ExoClock literature
10,2,2015-01-30,Wang et al. 2017,-1.7,0.7,ExoClock literature
11,3,2015-01-23,Wang et al. 2017,-0.5,0.7,ExoClock literature
12,4,2015-01-16,Wang et al. 2017,0.6,0.7,ExoClock literature
13,6,2014-03-06,Wang et al. 2017,-0.4,0.7,ExoClock literature
14,5,2014-03-06,Wang et al. 2017,0.5,0.8,ExoClock literature
15,8,2014-02-27,Wang et al. 2017,-0.3,1.0,ExoClock literature
16,7,2014-02-27,Wang et al. 2017,0.2,0.9,ExoClock literature
17,9,2013-12-09,Wang et al. 2017,-0.1,1.0,ExoClock literature
18,10,2009-10-06,Hartman et al. 2011,0.1,0.3,ExoClock literature
