observer,oc,oceu,ocel,date,source
Emmanuel THIERS,10.6,2.3,2.3,2022-04-28 10:08:26.688004608,ExoClock observation
Yves Jongen,6.8,0.9,0.9,2022-04-28 10:04:38.687994112,ExoClock observation
Anaël Wünsche,6.7,0.4,0.4,2022-04-28 10:04:32.687986432,ExoClock observation
Paolo Arcangelo Matassa,3.9,1.2,1.2,2022-04-28 10:01:44.688012544,ExoClock observation
Stéphane Montchaud,7.9,2.0,2.0,2022-04-21 09:47:54.191974144,ExoClock observation
Kevin Johnson,3.5,1.2,1.2,2022-04-21 09:43:30.191957760,ExoClock observation
Paolo Arcangelo Matassa,3.3,2.7,2.7,2022-04-14 09:25:27.695998464,ExoClock observation
Stefano Lora,2.5,1.0,1.0,2022-04-14 09:24:39.695977216,ExoClock observation
Taewoo Kim,4.9,0.3,0.3,2022-02-24 07:22:10.223992576,ExoClock observation
Taewoo Kim,4.8,0.4,0.4,2022-02-10 06:46:23.231976704,ExoClock observation
Robert Roth,5.5,0.9,0.9,2022-01-16 17:44:38.495965952,ExoClock observation
Adrian Jones,5.2,0.7,0.7,2022-01-16 17:44:20.495983104,ExoClock observation
