,index,date,observer,oc,oce,source
0,1,2021-10-05,Robert Roth,-2.0,1.3,ExoClock observation
1,2,2021-10-05,Robert Roth,-2.3,0.6,ExoClock observation
2,3,2021-09-30,Didier Laloum,-0.4,2.9,ExoClock observation
3,4,2021-09-30,Claudio Lopresti,-1.8,2.2,ExoClock observation
4,5,2021-09-30,Val\xc3\xa8re Perroud,-3.1,1.9,ExoClock observation
5,6,2020-11-05,Yves Jongen,-1.6,1.0,ExoClock observation
6,7,2020-09-12,Yves Jongen,0.2,1.2,ExoClock observation
7,8,2020-01-19,Yves Jongen,0.3,0.9,ExoClock observation
8,9,2018-12-27,Yves Jongen,0.8,1.2,ExoClock observation
9,10,2018-12-27,Ana\xc3\xabl W\xc3\xbcnsche,-0.1,1.4,ExoClock observation
10,11,2018-12-10,Yves Jongen,0.4,1.0,ExoClock observation
11,12,2017-10-10,Ana\xc3\xabl W\xc3\xbcnsche,-0.3,0.9,ExoClock observation
12,13,2016-10-08,Ana\xc3\xabl W\xc3\xbcnsche,3.2,1.6,ExoClock observation
13,0,2012-09-23,Hartman et al. 2015,-0.3,0.6,ExoClock literature
