date,observer,oc,oce,source
2021-10-29,Napaporn A-thano,5.9,1.2,ExoClock observation
2021-10-26,Mike Miller,1.4,2.7,ExoClock observation
2021-10-13,Giuseppe Conzo,-1.9,4.3,ExoClock observation
2021-10-10,Jean-Baptiste Marquette,-2.4,1.4,ExoClock observation
2021-10-10,David Bennett,-0.5,1.2,ExoClock observation
2021-10-07,Lionel Rousselot,-1.7,0.7,ExoClock observation
2021-10-07,Didier Laloum,-1.7,0.7,ExoClock observation
2021-10-07,Robert Roth,-1.4,0.6,ExoClock observation
2021-10-04,Robert Roth,-2.6,0.4,ExoClock observation
2021-10-04,Didier Laloum,-0.7,0.6,ExoClock observation
2021-10-04,Georgios Lekkas,-0.4,1.0,ExoClock observation
2021-10-04,Robert Roth,-1.6,0.3,ExoClock observation
2021-10-01,Giuseppe Conzo,-2.2,1.6,ExoClock observation
2021-10-01,David Wright,-1.9,1.3,ExoClock observation
2021-10-01,Mark Salisbury,-1.5,0.4,ExoClock observation
2021-10-01,Ivo Peretto,-1.5,0.4,ExoClock observation
2021-09-28,Claudio Lopresti,0.2,1.4,ExoClock observation
2021-09-28,Alessandro Marchini,-1.1,0.7,ExoClock observation
2021-09-28,Adam Popowicz,0.5,1.0,ExoClock observation
2021-09-25,Dim Stouraitis,-0.6,1.3,ExoClock observation
2021-09-25,Paolo Arcangelo Matassa,-2.0,1.9,ExoClock observation
2021-08-05,Andre Kovacs,-0.9,2.0,ExoClock observation
2021-08-02,Andre Kovacs,-1.4,3.3,ExoClock observation
2021-07-09,Dominique DANIEL,-2.3,1.3,ExoClock observation
2021-07-05,Marc Deldem,-1.9,0.6,ExoClock observation
2021-07-02,Ana\xc3\xabl W\xc3\xbcnsche,-1.8,0.4,ExoClock observation
2021-05-09,Andre Kovacs,3.3,1.9,ExoClock observation
2021-05-06,Andre Kovacs,-5.6,1.7,ExoClock observation
2021-05-03,Andre Kovacs,-0.2,2.3,ExoClock observation
2020-11-29,Leon Bewersdorff,-4.3,2.6,ExoClock observation
2020-09-02,Jean-Baptiste Marquette,-0.6,2.9,ExoClock observation
2020-08-27,Yves Jongen,-0.3,0.6,ExoClock observation
2020-06-01,Manfred Raetz,-0.4,0.6,ExoClock observation
2020-06-01,Francois Regembal,-2.1,0.7,ExoClock observation
2020-06-01,David Bennett,2.7,2.7,ExoClock observation
2020-05-28,EMMANUEL BESSON,-0.7,0.6,ExoClock observation
2020-05-28,Adrian Jones,-0.7,0.7,ExoClock observation
2020-05-28,Pere Guerra,-0.6,0.6,ExoClock observation
2020-05-28,Mauro Cal\xc3\xb3,-0.6,0.6,ExoClock observation
2020-05-28,Ana\xc3\xabl W\xc3\xbcnsche,0.0,0.7,ExoClock observation
2020-05-28,Martin Crow,0.0,0.6,ExoClock observation
2020-05-28,Simon Dawes,3.2,1.7,ExoClock observation
2020-05-28,Patrick Brandebourg,-1.1,0.7,ExoClock observation
2020-05-25,Jacques Michelet,-1.6,0.9,ExoClock observation
2020-05-25,Stephane Ferratfiat,-0.2,0.4,ExoClock observation
2020-05-22,Nikolaos Paschalis,-2.5,1.0,ExoClock observation
2020-05-22,T\xc3\xb5nis Eenm\xc3\xa4e,-2.2,0.7,ExoClock observation
2020-05-13,Vikrant Kumar Agnihotri,-1.9,1.2,ExoClock observation
2019-08-09,Pere Guerra,-0.9,0.9,ExoClock observation
2019-08-03,Mario Morales Aimar,0.8,0.7,ExoClock observation
2019-07-30,Alberto Tomatis,4.6,1.0,ExoClock observation
2019-07-24,Ana\xc3\xabl W\xc3\xbcnsche,2.1,1.2,ExoClock observation
2019-07-21,Dimitrios Deligeorgopoulos,2.6,1.2,ExoClock observation
2018-06-22,Ana\xc3\xabl W\xc3\xbcnsche,0.3,0.4,ExoClock observation
2018-06-19,Mario Morales Aimar,0.2,1.2,ExoClock observation
2017-08-23,Mario Morales Aimar,0.5,0.6,ExoClock observation
2016-07-16,Ana\xc3\xabl W\xc3\xbcnsche,-1.3,0.6,ExoClock observation
2016-04-20,Ana\xc3\xabl W\xc3\xbcnsche,1.6,0.9,ExoClock observation
2014-05-05,Alessandro Marchini,-0.4,0.7,ExoClock observation
2010-06-20,Manfred Raetz,0.2,0.9,ExoClock observation
2008-07-14,Raetz et al. 2009,0.9,1.4,ExoClock literature
2007-06-23,Rabus et al. 2009,1.7,0.3,ExoClock literature
2007-06-20,Rabus et al. 2009,0.1,0.3,ExoClock literature
