,index,date,observer,oc,oce,source
0,4,2021-10-26,Ana\xc3\xabl W\xc3\xbcnsche,1.1,1.0,ExoClock observation
1,5,2021-10-18,Ana\xc3\xabl W\xc3\xbcnsche,2.0,1.0,ExoClock observation
2,6,2021-09-09,Yves Jongen,1.0,1.2,ExoClock observation
3,7,2021-07-08,Yves Jongen,2.2,1.4,ExoClock observation
4,8,2020-09-17,Yves Jongen,-0.8,2.6,ExoClock observation
5,9,2020-09-13,Yves Jongen,3.4,1.3,ExoClock observation
6,10,2020-09-13,Phil Evans,-0.8,0.6,ExoClock observation
7,11,2020-09-05,Yves Jongen,1.1,1.6,ExoClock observation
8,0,2011-09-25,Gibson et al. 2013,0.1,0.2,ExoClock literature
9,1,2010-09-06,Dragomir et al. 2011,-0.7,1.1,ExoClock literature
10,2,2010-09-02,Dragomir et al. 2011,-0.8,1.0,ExoClock literature
11,3,2010-05-03,Hellier et al. 2010,-1.7,5.8,ExoClock literature
