observer,oc,oceu,ocel,date,source
Leon Bewersdorff,-0.3,1.0,1.0,2022-04-26 12:50:56.345281024,ExoClock observation
Pieter Vuylsteke,1.8,1.2,1.2,2022-04-17 12:22:34.871226880,ExoClock observation
Adam Popowicz,-3.4,2.3,2.3,2022-04-17 12:17:22.871188992,ExoClock observation
Paolo Arcangelo Matassa,1.0,1.4,1.4,2022-03-21 10:50:24.449081600,ExoClock observation
Harri Kiiskinen,0.3,0.9,0.9,2022-03-21 10:49:42.449068032,ExoClock observation
Massimiliano Zulian,-0.8,1.2,1.2,2022-03-21 10:48:36.449104128,ExoClock observation
Simon Dawes,-0.0,0.6,0.6,2022-02-24 15:25:38.895454976,ExoClock observation
Stefano Lora,4.3,2.4,2.4,2022-02-22 09:22:20.026929920,ExoClock observation
David Wright,0.5,0.7,0.7,2022-02-22 09:18:32.026919424,ExoClock observation
Ian Sharp,-0.4,0.6,0.6,2022-02-06 14:24:19.947355136,ExoClock observation
Pete Mills,-0.3,1.2,1.2,2022-02-04 08:16:49.078869248,ExoClock observation
Paolo Arcangelo Matassa,-1.2,1.6,1.6,2022-01-28 13:53:04.473279232,ExoClock observation
Martin Crow,-2.3,0.7,0.7,2022-01-19 13:21:30.999260672,ExoClock observation
Giovanni Battista Casalnuovo,0.4,1.2,1.2,2022-01-01 12:23:18.051157504,ExoClock observation
Sebastien Brouillard,1.3,2.0,2.0,2021-12-30 06:16:35.182652672,ExoClock observation
Sebastien Brouillard,-1.1,1.0,1.0,2021-12-23 11:51:20.577108224,ExoClock observation
Yves Jongen,-3.7,1.3,1.3,2021-12-14 11:18:17.103054848,ExoClock observation
Mario Billiani,3.5,1.9,1.9,2021-05-25 12:00:10.936975360,ExoClock observation
