observer,oc,oceu,ocel,date,source
Marc bretton,0.576,1.6272,1.6272,2014-12-11 10:14:35.520000000,ETD
Marc bretton,-0.288,1.4976,1.4976,2014-12-09 11:18:21.312000256,ETD
Benishek v.,-7.488,1.1808,1.1808,2013-11-15 09:39:50.688000256,ETD
René r.,-0.864,2.448,2.448,2013-11-11 11:55:40.800000256,ETD
Nicolas e.,-1.296,0.8496,0.8496,2013-11-11 11:55:20.064000256,ETD
Benni p.,0.144,1.224,1.224,2013-10-30 18:24:46.943999744,ETD
"Logan v., lewis k.",1.728,0.6912,0.6912,2013-10-22 22:44:56.832000000,ETD
Benni p.,1.872,1.3824,1.3824,2013-09-17 18:09:08.640000256,ETD
Schteinman g. m.,-1.44,0.5328,0.5328,2013-01-16 08:49:06.816000256,ETD
Vanessa logan and karen lewis,4.032,49267.584,49267.584,2013-01-02 16:27:14.111999744,ETD
Rose n.,2.304,5.8896,5.8896,2012-12-29 18:34:55.200000256,ETD
Allen c.,0.288,0.7632,0.7632,2012-11-20 16:06:08.352000000,ETD
Horta f. g.,-0.144,1.9728,1.9728,2012-10-16 11:29:43.872000000,ETD
"Angel t., harlingten c.",-2.016,2.3328,2.3328,2012-10-16 11:27:54.144000000,ETD
"Kehusmaa p., harlingten c.",4.464,2.016,2.016,2012-10-02 19:06:55.871999744,ETD
Shadic s.,5.184,1.7856,1.7856,2012-01-22 15:14:20.544000256,ETD
"Makely n., hutcheson m.",-1.152,1.2384,1.2384,2012-01-18 17:17:18.240000256,ETD
Lopesino j.,-2.592,2.1744,2.1744,2011-12-22 08:21:12.383999744,ETD
Singh p.,0.864,1.4544,1.4544,2011-12-04 18:06:41.760000256,ETD
Tifner f.,2.016,1.2816,1.2816,2011-10-30 13:31:48.000000000,ETD
Evans p.,1.44,3.0096,3.0096,2011-10-18 19:59:15.648000256,ETD
Gillon et al. 2011,-0.2,0.3,0.3,2010-12-27 14:42:14.023685632,ExoClock literature
"M. gillon et al., 2011",-1.152,0.288,0.288,2010-12-27 14:41:14.207999744,ETD
