,date,observer,oc,oce,source
0,2021-01-18,Claudio Lopresti,20.1,2.9,ExoClock observation
1,2011-09-13,Alessandro Marchini,4.5,1.4,ExoClock observation
2,2010-10-29,Alessandro Marchini,8.7,1.7,ExoClock observation
3,2007-12-03,Alessandro Marchini,7.8,5.8,ExoClock observation
