date,observer,oc,oce,source
2022-01-06,Alexander Putz,-15.5,7.2,ExoClock observation
2021-12-02,Martin Crow,-12.7,3.3,ExoClock observation
2021-04-24,Fabio Mortari,-9.6,2.7,ExoClock observation
2021-04-03,Martin Smith,-7.5,2.2,ExoClock observation
2021-04-03,John Savage,-9.9,1.0,ExoClock observation
2021-03-31,Fabio Salvaggio,-16.6,2.3,ExoClock observation
2021-03-11,Harri Kiiskinen,-7.0,4.3,ExoClock observation
2021-03-11,Adam Popowicz,-11.3,2.0,ExoClock observation
2021-03-08,Fabio Mortari,-6.1,4.3,ExoClock observation
2021-03-08,Nigel Stanbury,-8.7,2.0,ExoClock observation
2021-03-02,John Savage,-7.7,1.2,ExoClock observation
2021-02-21,Thomas MOLLIER,-6.2,4.3,ExoClock observation
2021-02-21,Yves Jongen,-11.1,1.7,ExoClock observation
2021-01-22,Martin Smith,-11.0,1.9,ExoClock observation
