,date,observer,oc,oce,source
0,2022-02-27,Yves Jongen,-0.7,1.6,ExoClock observation
1,2022-02-10,Yves Jongen,3.2,1.3,ExoClock observation
2,2022-02-10,Alessandro Marchini,-4.9,3.5,ExoClock observation
3,2022-01-28,Yves Jongen,1.8,0.9,ExoClock observation
4,2022-01-28,Ana\xc3\xabl W\xc3\xbcnsche,0.7,1.2,ExoClock observation
5,2022-01-17,Andras Dan,-1.5,1.3,ExoClock observation
6,2022-01-17,Adrian Jones,-2.6,1.9,ExoClock observation
