,index,date,observer,oc,oce,source
0,9,2022-03-11,Yves Jongen,-4.4,1.2,ExoClock observation
1,10,2020-04-18,Phil Evans,2.4,1.2,ExoClock observation
2,11,2020-04-13,Mike Miller,-2.0,5.8,ExoClock observation
3,12,2018-04-30,Anastasia Kokori,-2.5,1.4,ExoClock observation
4,0,2015-04-23,Southworth et al. 2016,-0.0,0.3,ExoClock literature
5,1,2014-06-19,Southworth et al. 2016,-0.0,0.3,ExoClock literature
6,2,2013-05-04,Southworth et al. 2016,-0.2,0.2,ExoClock literature
7,3,2011-06-03,Southworth et al. 2016,1.5,0.7,ExoClock literature
8,4,2010-04-22,Southworth et al. 2016,3.2,2.4,ExoClock literature
9,5,2009-04-30,Southworth et al. 2016,-5.5,3.0,ExoClock literature
10,6,2008-04-24,Southworth et al. 2016,-1.0,3.2,ExoClock literature
11,7,2007-04-11,Southworth et al. 2016,1.6,4.0,ExoClock literature
12,8,2006-06-16,Southworth et al. 2016,-0.6,4.9,ExoClock literature
