,date,observer,oc,oce,source
0,2022-03-12,Yves Jongen,11.6,3.5,ExoClock observation
1,2022-01-18,Leon Bewersdorff,12.3,4.3,ExoClock observation
2,2021-12-04,jean pascal vignes,19.6,4.3,ExoClock observation
