,date,observer,oc,oce,source
0,2022-02-19,Sebastien Brouillard,-6.7,7.2,ExoClock observation
1,2022-02-12,Manfred Raetz,-0.5,5.8,ExoClock observation
2,2022-01-29,Fran Campos,3.3,5.8,ExoClock observation
