observer,oc,oceu,ocel,date,source
Taewoo Kim,0.3,0.7,0.7,2022-04-08 04:04:29.193577728,ExoClock observation
Marc SERRAU,-6.8,4.3,4.3,2022-04-02 11:41:18.163196160,ExoClock observation
Paolo Arcangelo Matassa,1.1,2.4,2.4,2022-03-13 14:52:54.556803584,ExoClock observation
Billy Edwards,-3.7,2.2,2.2,2021-04-21 03:23:17.308775680,ExoClock observation
Yves Jongen,0.2,1.0,1.0,2021-04-12 15:03:03.763195648,ExoClock observation
Yves jongen,-2.016,0.8496,0.8496,2021-04-12 15:01:40.224000000,ETD
Adrian Jones,1.2,2.4,2.4,2021-03-26 14:15:48.671995136,ExoClock observation
Yves Jongen,1.6,1.6,1.6,2021-03-09 13:27:57.580788736,ExoClock observation
Yves jongen,-6.48,1.3104,1.3104,2021-03-09 13:20:44.448000000,ETD
Yves jongen,-1.008,1.1232,1.1232,2020-05-09 19:05:38.111999744,ETD
Yves Jongen,-0.4,1.2,1.2,2020-05-09 19:05:28.454411008,ExoClock observation
Manfred raetz,-0.864,1.008,1.008,2020-03-22 12:49:01.056000000,ETD
Manfred Raetz,-2.2,1.3,1.3,2020-03-22 12:46:57.695961856,ExoClock observation
Mathieu guinot - stéphane ferratfiat ,7.2,1.0368,1.0368,2019-05-12 10:04:23.807999744,ETD
Pere guerra,-3.744,1.0656,1.0656,2019-03-16 15:12:32.544000256,ETD
Tomasz popajewski,3.6,3.6144,3.6144,2018-06-11 10:11:42.720000000,ETD
F. lomoz,7.776,1.9296,1.9296,2018-05-05 12:31:21.792000256,ETD
F. lomoz,2.88,1.3824,1.3824,2018-05-05 12:26:27.167999744,ETD
Yves jongen,8.784,3.2688,3.2688,2018-04-18 11:44:04.416000256,ETD
F. lomoz,-0.432,2.0592,2.0592,2018-04-18 11:34:57.504000000,ETD
"Nico montigiani, massimiliano mannucci",-1.44,1.656,1.656,2018-04-18 11:33:50.976000000,ETD
F. lomoz,-4.896,2.088,2.088,2018-04-18 11:30:29.663999744,ETD
"Melia r., colazo c., villarreal c., tapia l.",-1.584,0.5616,0.5616,2016-07-21 13:32:07.872000000,ETD
Oleg mazurenko,39.024,,,2015-06-25 19:42:54.144000000,ETD
Phil evans,-4.32,1.4976,1.4976,2015-06-05 22:03:19.008000000,ETD
Anaël Wünsche,-2.0,1.0,1.0,2015-05-28 09:41:10.271976192,ExoClock observation
Marc bretton,-3.168,0.936,0.936,2015-05-28 09:40:15.744000000,ETD
Juan lozano de haro,13.68,1.656,1.656,2015-05-08 13:00:52.127999744,ETD
David molina,-28.512,3.9312,3.9312,2015-04-01 14:34:03.071999744,ETD
Giuseppe marino,-5.328,2.0448,2.0448,2014-06-27 09:49:08.832000000,ETD
Southworth et al. 2015,1.2,0.6,0.6,2014-06-24 13:47:22.963202304,ExoClock literature
Southworth et al. 2015,1.0,0.5,0.5,2014-06-24 13:47:10.963186944,ExoClock literature
Southworth et al. 2015,0.7,0.2,0.2,2014-06-24 13:46:52.963204096,ExoClock literature
Southworth et al. 2015,0.2,0.3,0.3,2014-06-24 13:46:22.963205888,ExoClock literature
Southworth et al. 2015,-1.1,0.3,0.3,2014-06-24 13:45:04.963186432,ExoClock literature
Southworth et al. 2015,2.7,1.4,1.4,2014-06-10 09:08:40.387199488,ExoClock literature
Southworth et al. 2015,-0.4,0.3,0.3,2014-05-18 16:01:14.265606656,ExoClock literature
Dittler u.,9.072,2.4624,2.4624,2014-03-11 12:57:54.144000000,ETD
Southworth et al. 2015,0.7,0.3,0.3,2012-05-10 13:11:26.313584384,ExoClock literature
Southworth et al. 2015,0.0,0.6,0.6,2012-05-10 13:10:44.313570816,ExoClock literature
Southworth et al. 2015,-0.3,0.6,0.6,2012-05-10 13:10:26.313587968,ExoClock literature
Southworth et al. 2015,-0.9,2.1,2.1,2012-05-10 13:09:50.313582080,ExoClock literature
Southworth et al. 2015,0.4,0.2,0.2,2012-03-31 19:18:33.100768512,ExoClock literature
Southworth et al. 2015,-1.6,0.6,0.6,2012-03-31 19:16:33.100775680,ExoClock literature
Southworth et al. 2015,-1.8,0.5,0.5,2012-03-14 18:28:06.009563392,ExoClock literature
Southworth et al. 2015,0.6,0.4,0.4,2011-06-10 13:22:23.519997696,ExoClock literature
Southworth et al. 2015,-1.1,0.4,0.4,2011-06-10 13:20:41.519987456,ExoClock literature
Faedi et al. 2013,-0.1,0.3,0.3,2011-06-04 21:05:36.489585152,ExoClock literature
Southworth et al. 2015,-0.0,0.8,0.8,2011-05-04 15:37:14.822398464,ExoClock literature
