,index,date,observer,oc,oce,source
0,1,2022-03-06,Yves Jongen,-1.9,0.9,ExoClock observation
1,2,2021-04-14,Giorgio Baj,-2.0,1.6,ExoClock observation
2,3,2021-03-14,Yves Jongen,-3.5,1.9,ExoClock observation
3,4,2021-03-02,Manfred Raetz,4.5,1.0,ExoClock observation
4,5,2021-03-02,Yves Jongen,3.2,1.4,ExoClock observation
5,6,2020-04-22,Manfred Raetz,5.6,1.3,ExoClock observation
6,7,2019-05-01,Ana\xc3\xabl W\xc3\xbcnsche,0.5,1.3,ExoClock observation
7,8,2019-05-01,Ana\xc3\xabl W\xc3\xbcnsche,-0.4,0.4,ExoClock observation
8,9,2019-03-31,Ana\xc3\xabl W\xc3\xbcnsche,-0.3,1.0,ExoClock observation
9,10,2016-06-06,Alessandro Marchini,1.3,1.9,ExoClock observation
10,11,2016-03-12,Ana\xc3\xabl W\xc3\xbcnsche,2.6,1.6,ExoClock observation
11,0,2011-05-15,Hartman et al. 2014,0.0,0.3,ExoClock literature
