,date,observer,oc,oce,source
0,2021-11-18,Ana\xc3\xabl W\xc3\xbcnsche,5.7,1.9,ExoClock observation
1,2021-06-28,Yves Jongen,4.1,1.3,ExoClock observation
2,2021-06-21,Yves Jongen,1.1,1.3,ExoClock observation
