date,observer,oc,oceu,ocel,source
2010-04-21 01:24:23.039999744,Curtis i.,4.752,4.9104,4.9104,ETD
2009-05-15 12:53:07.296000256,Lendl m. et al 2010,-0.288,0.3168,0.3168,ETD
2009-04-25 15:39:20.448000000,Lendl m. et al 2010,-0.72,0.2736,0.2736,ETD
2009-04-20 16:21:38.015999744,Lendl m. et al 2010,-0.144,0.3168,0.3168,ETD
2009-04-15 17:02:03.263999744,Lendl m. et al 2010,-1.296,0.4176,0.4176,ETD
2009-04-10 17:44:47.615999744,Lendl m. et al 2010,-0.288,0.4464,0.4464,ETD
2008-01-26 19:13:14.304000256,Lendl m. et al 2010,1.152,0.4752,0.4752,ETD
1997-01-29 15:51:50.400000000,Snellen et al. 2007,-2.016,1.728,1.728,ETD
