,index,date,observer,oc,oce,source
0,1,2022-02-08,Ana\xc3\xabl W\xc3\xbcnsche,1.9,1.3,ExoClock observation
1,2,2022-01-13,David Arnot,-2.3,1.6,ExoClock observation
2,3,2021-01-24,Yves Jongen,-2.5,1.4,ExoClock observation
3,4,2021-01-19,Yves Jongen,-1.6,0.7,ExoClock observation
4,5,2020-11-12,Yves Jongen,-0.1,1.0,ExoClock observation
5,6,2020-09-20,Yves Jongen,0.3,0.9,ExoClock observation
6,0,2011-09-03,Jord\xc3\xa1n et al. 2014,0.1,0.5,ExoClock literature
