,index,date,observer,oc,oce,source
0,11,2021-12-08,Fernando Mart\xc3\xadnez,-2.5,2.7,ExoClock observation
1,12,2021-09-10,Yves Jongen,2.2,0.4,ExoClock observation
2,13,2020-11-09,Yves Jongen,1.2,0.4,ExoClock observation
3,14,2020-11-06,Yves Jongen,-0.4,0.4,ExoClock observation
4,15,2020-11-03,Yves Jongen,-0.6,0.6,ExoClock observation
5,16,2020-08-18,Yves Jongen,1.8,0.9,ExoClock observation
6,17,2020-08-15,Yves Jongen,0.3,0.7,ExoClock observation
7,0,2015-10-09,Koz\xc5\x82owski et al. 2017,2.0,0.7,ExoClock literature
8,1,2015-01-07,Mancini et al. 2016,0.1,0.2,ExoClock literature
9,4,2015-01-07,Mancini et al. 2016,-0.6,0.2,ExoClock literature
10,3,2015-01-07,Mancini et al. 2016,-0.3,0.2,ExoClock literature
11,2,2015-01-07,Mancini et al. 2016,-0.2,0.2,ExoClock literature
12,8,2014-10-13,Mancini et al. 2016,-0.2,0.3,ExoClock literature
13,7,2014-10-13,Mancini et al. 2016,-0.1,0.3,ExoClock literature
14,6,2014-10-13,Mancini et al. 2016,-0.0,0.3,ExoClock literature
15,5,2014-10-13,Mancini et al. 2016,0.0,0.3,ExoClock literature
16,10,2013-02-09,Hellier et al. 2014,0.1,0.1,ExoClock literature
17,9,2013-02-09,Mancini et al. 2016,0.2,0.1,ExoClock literature
