observer,oc,oceu,ocel,date,source
Horace dale,-18.0,0.9072,0.9072,2021-09-26 16:53:22.272000000,ETD
Veli-pekka hentunen,-35.568,1.4688,1.4688,2021-09-09 09:58:35.616000256,ETD
Yves Jongen,-1.1,1.2,1.2,2021-08-17 09:43:35.493115904,ExoClock observation
Yves jongen,-1.872,1.2528,1.2528,2021-08-17 09:42:46.944000256,ETD
Vojtěch Školník,-0.8,1.2,1.2,2021-08-14 12:37:41.955866112,ExoClock observation
Školník v.,-1.872,1.1952,1.1952,2021-08-14 12:36:39.743999744,ETD
Lomoz f.,-11.376,2.1456,2.1456,2021-08-14 12:27:07.775999744,ETD
John Savage,3.1,2.0,2.0,2020-11-05 08:34:45.302402048,ExoClock observation
Veli-pekka hentunen,-3.6,1.512,1.512,2020-11-05 08:28:04.512000256,ETD
Pere guerra,3.744,1.8,1.8,2020-10-30 14:23:03.839999744,ETD
Yves jongen,2.16,1.8,1.8,2020-10-30 14:21:27.072000256,ETD
Pere Guerra,1.7,1.9,1.9,2020-10-30 14:20:58.227869952,ExoClock observation
Carmelo Falco,-1.2,0.6,0.6,2020-10-10 10:34:43.466899456,ExoClock observation
"Sven de vrieze, bernd koch",0.576,2.1024,2.1024,2020-09-17 09:47:00.960000000,ETD
Danilo Sedita,-2.3,1.6,1.6,2020-09-17 09:44:05.168633856,ExoClock observation
Gianluca rossi,-31.104,8.64,8.64,2020-07-27 13:23:45.887999744,ETD
Sven de vrieze,-1.008,1.44,1.44,2019-12-30 09:21:53.280000256,ETD
Yves jongen,1.296,1.7712,1.7712,2019-10-13 15:37:00.479999744,ETD
Manfred raetz,0.72,0.8496,0.8496,2019-09-20 14:46:52.031999744,ETD
Veli-pekka hentunen,2.016,2.9088,2.9088,2019-08-31 11:04:49.152000000,ETD
Medulka t.,-25.056,1.1952,1.1952,2019-08-31 10:37:44.832000256,ETD
Yves jongen,1.872,0.936,0.936,2019-08-28 13:58:31.583999744,ETD
Snaevarr gudmundsson,-6.912,2.1168,2.1168,2018-11-19 09:42:50.400000256,ETD
Pere guerra,-1.728,1.9728,1.9728,2018-10-24 11:52:18.623999744,ETD
Sjoerd dufoer,-10.224,4.3776,4.3776,2018-10-24 11:43:49.728000256,ETD
Pietro aceti,39.744,2.9232,2.9232,2018-09-28 14:37:59.808000000,ETD
Yves jongen,12.24,1.3536,1.3536,2018-09-28 14:10:32.159999744,ETD
Pere guerra,2.448,1.008,1.008,2018-09-28 14:00:42.048000000,ETD
Yves jongen,1.584,1.5552,1.5552,2018-09-08 10:16:33.888000000,ETD
F. lomoz,-5.616,6.3504,6.3504,2018-09-08 10:09:17.568000000,ETD
Mishevskiy nikolay,-153.216,794.6784,794.6784,2018-08-13 09:46:01.344000000,ETD
Mallonn et al. 2019,5.4,1.8,1.8,2018-08-10 15:18:26.714898432,ExoClock literature
Mallonn et al. 2019,3.6,2.2,2.2,2018-08-10 15:16:38.714880768,ExoClock literature
Yves jongen,-17.136,1.8288,1.8288,2018-07-21 11:12:36.575999744,ETD
Karl fenzl and peter soens,4.608,1.1952,1.1952,2017-10-03 16:08:49.920000000,ETD
Gabriel murawski,-7.632,4.8384,4.8384,2017-08-24 08:29:54.239999744,ETD
Anaël Wünsche,3.1,0.9,0.9,2017-08-21 11:34:29.629463552,ExoClock observation
Marc bretton,1.872,0.7344,0.7344,2017-08-21 11:33:19.008000000,ETD
Mario Morales Aimar,-1.2,2.9,2.9,2017-08-21 11:30:11.629454848,ExoClock observation
Mario morales,-10.08,1.008,1.008,2017-08-21 11:21:21.024000000,ETD
Marc bretton,14.256,0.792,0.792,2016-12-28 09:17:55.680000256,ETD
Marc bretton,7.776,1.7856,1.7856,2016-12-28 09:11:27.744000256,ETD
Matthieu bachschmidt,-1.296,2.8512,2.8512,2016-12-28 09:02:21.696000256,ETD
Alsubai et al. (2016),-0.0,1.4112,1.4112,2015-11-09 18:11:52.108800256,ETD
Alsubai et al. 2017,-0.1,0.1,0.1,2015-11-09 18:11:50.204154368,ExoClock literature
