,index,date,observer,oc,oce,source
0,2,2021-07-29,Dim Stouraitis,8.0,3.5,ExoClock observation
1,3,2021-07-29,Adam Popowicz,3.4,1.9,ExoClock observation
2,4,2021-07-29,Carmelo Falco,0.3,2.6,ExoClock observation
3,5,2021-07-29,Carmelo Falco,-2.8,1.6,ExoClock observation
4,6,2021-07-29,Paolo Arcangelo Matassa,-6.1,4.3,ExoClock observation
5,1,2021-07-29,Lionel Rousselot,13.4,2.9,ExoClock observation
6,7,2021-07-27,Yves Jongen,2.8,1.0,ExoClock observation
7,8,2021-07-10,Adam Popowicz,-3.6,2.7,ExoClock observation
8,9,2021-07-08,Ana\xc3\xabl W\xc3\xbcnsche,2.0,0.6,ExoClock observation
9,10,2021-06-27,Yves Jongen,2.8,1.6,ExoClock observation
10,11,2021-06-11,Adam Popowicz,8.6,3.2,ExoClock observation
11,12,2020-08-08,Phil Evans,1.3,1.3,ExoClock observation
12,13,2020-08-08,Yves Jongen,-1.0,1.0,ExoClock observation
13,14,2020-07-28,Yves Jongen,0.4,1.2,ExoClock observation
14,15,2020-07-11,Yves Jongen,0.2,1.2,ExoClock observation
15,16,2020-07-11,Danilo Sedita,-1.0,1.9,ExoClock observation
16,0,2012-09-25,Triaud et al. 2017,0.0,0.3,ExoClock literature
