observer,oc,oceu,ocel,date,source
Yves Jongen,13.6,1.3,1.3,2022-04-07 15:48:24.288008704,ExoClock observation
Yves jongen,11.088,1.3536,1.3536,2022-04-07 15:46:21.215999744,ETD
Yves Jongen,9.3,1.7,1.7,2022-02-27 19:06:59.875198720,ExoClock observation
Yves jongen,7.92,1.3824,1.3824,2022-02-27 19:05:58.848000000,ETD
Anaël Wünsche,3.8,1.3,1.3,2022-02-27 19:01:29.875218176,ExoClock observation
Yves Jongen,11.3,1.4,1.4,2022-02-14 20:16:37.737591040,ExoClock observation
Yves jongen,9.36,1.6272,1.6272,2022-02-14 20:15:03.456000000,ETD
Yves Jongen,9.9,1.2,1.2,2021-03-23 16:48:32.918405120,ExoClock observation
Yves jongen,7.776,1.0944,1.0944,2021-03-23 16:46:47.423999744,ETD
Yves Jongen,7.8,1.4,1.4,2021-02-12 20:09:20.505603328,ExoClock observation
Yves jongen,5.184,1.3392,1.3392,2021-02-12 20:07:01.344000256,ETD
Philippe chatelain,15.696,2.1024,2.1024,2019-04-15 14:31:52.608000256,ETD
Tg tan,0.576,1.3248,1.3248,2011-12-25 06:28:28.128000000,ETD
Curtis i.,-1.152,1.6848,1.6848,2011-06-26 22:13:41.088000000,ETD
Curtis i.,-1.296,2.304,2.304,2011-06-13 23:21:04.608000256,ETD
Evans p.,-14.832,1.872,1.872,2011-03-10 23:23:28.896000000,ETD
Tan tg,0.0,1.6704,1.6704,2011-01-18 04:08:56.831999744,ETD
"B. smalley et al., 2010",-1.152,0.9216,0.9216,2008-06-29 13:17:09.312000000,ETD
