,index,date,observer,oc,oce,source
0,4,2022-02-28,Claudio Lopresti,3.3,1.2,ExoClock observation
1,5,2022-01-30,Cyrille AUMASSON,-1.3,0.7,ExoClock observation
2,6,2021-11-18,Martin Crow,-5.8,5.8,ExoClock observation
3,8,2021-04-03,Matthieu Bachschmidt,-1.3,1.2,ExoClock observation
4,7,2021-04-03,Yves Jongen,5.4,1.7,ExoClock observation
5,9,2021-03-02,Manfred Raetz,0.5,0.7,ExoClock observation
6,10,2021-03-02,Fabio Mortari,-0.2,2.7,ExoClock observation
7,11,2020-12-18,Val\xc3\xa8re Perroud,1.7,1.7,ExoClock observation
8,12,2020-05-20,Geoffrey Thurston,0.1,1.4,ExoClock observation
9,13,2020-05-04,Fabio Mortari,-3.2,4.3,ExoClock observation
10,14,2020-04-06,Martin Crow,0.7,0.9,ExoClock observation
11,15,2020-04-06,Ana\xc3\xabl W\xc3\xbcnsche,0.5,2.2,ExoClock observation
12,16,2020-04-06,Manfred Raetz,-0.9,0.9,ExoClock observation
13,17,2020-03-20,Nikolaos Paschalis,-2.6,2.2,ExoClock observation
14,18,2020-03-04,Mauro Cal\xc3\xb3,-4.9,2.4,ExoClock observation
15,19,2020-02-21,Adrian Jones,-0.4,1.4,ExoClock observation
16,20,2020-02-17,Nikolaos Paschalis,0.4,1.9,ExoClock observation
17,21,2020-01-26,Billy Edwards,-5.8,4.3,ExoClock observation
18,22,2020-01-19,Adrian Jones,3.8,3.2,ExoClock observation
19,23,2020-01-07,Mauro Cal\xc3\xb3,-0.9,7.2,ExoClock observation
20,0,2014-03-22,Turner et al. 2016,1.9,0.9,ExoClock literature
21,1,2014-01-13,Hinse et al. 2015,0.0,0.3,ExoClock literature
22,2,2013-02-23,Turner et al. 2016,-0.6,2.0,ExoClock literature
23,3,2009-04-08,Bakos et al. 2011,-0.2,0.4,ExoClock literature
