observer,oc,oceu,ocel,date,source
Beatty et al. 2020,0.3,0.4,0.4,2015-10-10 23:25:49.180506112,ExoClock literature
Anaël Wünsche,2.0,1.6,1.6,2015-09-26 08:49:13.411674624,ExoClock observation
Marc bretton,1.296,1.3248,1.3248,2015-09-26 08:48:33.983999744,ETD
David molina,-5.76,2.5488,2.5488,2015-09-21 11:48:38.304000000,ETD
Gianluca rossi,2.88,4.1328,4.1328,2015-08-07 10:49:14.303999744,ETD
Marc bretton,2.88,1.3392,1.3392,2015-07-27 11:50:30.624000256,ETD
Aaav astrofili valdera,29.952,,,2015-07-10 11:12:59.040000000,ETD
Josep gaitan,7.2,1.8576,1.8576,2014-12-31 07:19:09.407999744,ETD
Marc bretton,-3.168,1.152,1.152,2014-12-31 07:08:48.192000000,ETD
Marc bretton,44.496,2.9232,2.9232,2014-11-28 11:00:17.856000000,ETD
Stan shadick and ryan cooney and taylor bell,-4.752,1.9584,1.9584,2014-11-13 19:32:40.703999744,ETD
Ivan sergey,1.728,5.4432,5.4432,2014-11-05 07:06:55.008000000,ETD
Salisbury m.,-0.72,1.0656,1.0656,2014-10-31 10:11:42.720000000,ETD
Hentunen v. p.,-1.296,2.3616,2.3616,2014-10-31 10:11:08.160000256,ETD
Bretton m.,-4.752,1.9728,1.9728,2014-10-31 10:07:37.344000000,ETD
Aaav astrofili valdera,24.624,,,2014-10-08 07:26:25.727999744,ETD
Aaav astrofili valdera,24.624,,,2014-10-03 10:33:37.728000256,ETD
Jurgen kobierczynski,24.624,,,2014-10-03 10:33:37.728000256,ETD
Zibar m.,-4.752,1.2384,1.2384,2014-09-27 07:58:16.032000256,ETD
Garlitz j.,10.368,3.096,3.096,2014-08-27 21:43:31.871999744,ETD
Horta f. g.,16.848,1.8576,1.8576,2014-08-14 12:24:55.584000256,ETD
Shadic s.,7.056,1.8144,1.8144,2014-07-13 20:32:15.072000256,ETD
"Scaggiante f., zardin d.",1.44,1.8,1.8,2013-12-10 08:31:47.423999744,ETD
Salisbury m.,13.392,1.1088,1.1088,2013-12-04 06:37:45.408000000,ETD
Salisbury m.,-0.432,1.1376,1.1376,2013-11-29 09:31:04.512000000,ETD
Shadic s.,2.016,1.3392,1.3392,2013-11-25 17:53:58.847999744,ETD
Benni p.,2.448,1.7568,1.7568,2013-11-13 13:42:30.816000256,ETD
"Scaggiante f., zardin d.",11.52,2.1456,2.1456,2013-10-26 07:33:40.319999744,ETD
Beatty et al. 2017,0.7,0.9,0.9,2013-10-17 18:50:33.623336192,ExoClock literature
Benni p.,18.288,2.448,2.448,2013-09-30 18:03:29.087999744,ETD
Salisbury m.,-1.44,1.0512,1.0512,2013-09-23 10:24:35.136000000,ETD
Benni p.,-1.44,1.6848,1.6848,2013-09-19 18:45:03.456000000,ETD
Shadic s.,5.904,1.5696,1.5696,2013-09-14 21:59:38.688000000,ETD
Horta f. g.,14.688,2.7504,2.7504,2013-09-12 11:42:01.728000256,ETD
Benishek v.,8.64,1.8288,1.8288,2013-09-06 09:29:58.847999744,ETD
Hentunen v. p.,8.208,1.4832,1.4832,2013-08-26 10:30:50.976000256,ETD
Bachschmidt m.,26.352,1.8144,1.8144,2013-08-15 11:50:13.344000000,ETD
Gonzalez j.,14.976,2.1168,2.1168,2013-08-15 11:38:53.376000000,ETD
Shadic s.,-0.144,1.224,1.224,2013-07-31 20:45:23.904000256,ETD
Shadic s.,12.24,1.6416,1.6416,2013-07-14 19:53:07.584000256,ETD
Faustino ,-19.152,4.8528,4.8528,2012-12-28 08:31:36.192000256,ETD
Naves r.,-6.336,1.5264,1.5264,2012-11-19 09:42:21.024000256,ETD
Horta f. g.,-9.504,2.7072,2.7072,2012-11-19 09:39:09.216000000,ETD
Blois sologne astronomie,8.208,,,2012-11-13 07:50:48.480000256,ETD
Beatty et al. 2014,3.7,3.3,3.3,2012-09-11 00:20:24.980440832,ExoClock literature
Beatty et al. 2014,4.0,3.2,3.2,2012-09-09 19:07:31.499690240,ExoClock literature
Flwo,0.576,0.5832,0.5832,2012-01-06 15:26:12.480000000,ETD
