,index,date,observer,oc,oce,source
0,1,2022-02-26,Siegfried Vanaverbeke,6.3,4.3,ExoClock observation
1,2,2021-10-26,Mario Morales Aimar,2.2,2.4,ExoClock observation
2,3,2021-10-24,Manfred Raetz,6.8,1.6,ExoClock observation
3,4,2021-10-15,Paolo Arcangelo Matassa,5.3,2.2,ExoClock observation
4,5,2021-10-15,Manfred Raetz,-7.8,3.2,ExoClock observation
5,6,2021-08-25,Yves Jongen,6.2,1.6,ExoClock observation
6,7,2021-08-14,Yves Jongen,4.3,2.6,ExoClock observation
7,8,2021-08-05,T\xc3\xb5nis Eenm\xc3\xa4e,-8.5,2.6,ExoClock observation
8,9,2021-01-23,John Savage,-0.8,1.6,ExoClock observation
9,10,2020-11-11,Yves Jongen,-2.0,2.0,ExoClock observation
10,11,2020-09-22,Nikolaos Paschalis,-4.6,2.3,ExoClock observation
11,13,2020-08-12,Mauro Cal\xc3\xb3,-2.3,2.6,ExoClock observation
12,12,2020-08-12,Adam Popowicz,5.4,5.8,ExoClock observation
13,14,2020-08-01,Mark Roberts,7.1,4.3,ExoClock observation
14,15,2020-08-01,David Wright,1.3,3.5,ExoClock observation
15,16,2019-12-02,Ana\xc3\xabl W\xc3\xbcnsche,-0.6,4.3,ExoClock observation
16,17,2019-10-11,Lionel Rousselot,-0.7,2.7,ExoClock observation
17,18,2019-09-30,Yves Jongen,2.8,1.2,ExoClock observation
18,19,2019-08-31,Dim Stouraitis,-5.0,2.2,ExoClock observation
19,20,2019-08-20,Yves Jongen,1.4,1.6,ExoClock observation
20,21,2019-06-30,Mario Morales Aimar,-7.0,5.8,ExoClock observation
21,22,2018-12-28,Ana\xc3\xabl W\xc3\xbcnsche,0.8,2.6,ExoClock observation
22,23,2016-10-02,Marc Deldem,-1.4,1.9,ExoClock observation
23,24,2016-08-12,Angelos Tsiaras,0.6,4.3,ExoClock observation
24,0,2012-06-01,Hay et al. 2016,0.0,0.6,ExoClock literature
