,index,date,observer,oc,oce,source
0,6,2021-11-06,Giovanni Battista Casalnuovo,-3.4,2.2,ExoClock observation
1,7,2021-08-30,Carmelo Falco,-3.0,1.7,ExoClock observation
2,8,2020-09-14,Yves Jongen,0.1,1.0,ExoClock observation
3,9,2020-08-20,Taewoo Kim,-1.2,0.7,ExoClock observation
4,10,2020-08-18,Iakovos Strikis,-0.4,2.2,ExoClock observation
5,11,2018-12-20,Dimitrios Deligeorgopoulos,-0.8,3.2,ExoClock observation
6,12,2015-11-04,Ana\xc3\xabl W\xc3\xbcnsche,1.0,0.4,ExoClock observation
7,0,2012-11-20,Sun et al. 2015,2.0,2.0,ExoClock literature
8,1,2012-11-20,Sun et al. 2015,2.0,0.9,ExoClock literature
9,2,2011-10-15,Sada et al. 2012,-2.1,0.5,ExoClock literature
10,3,2010-11-06,Sun et al. 2015,0.9,1.1,ExoClock literature
11,4,2010-11-06,Sun et al. 2015,0.3,2.7,ExoClock literature
12,5,2009-11-15,Maxted et al. 2010,0.4,0.7,ExoClock literature
