observer,oc,oceu,ocel,date,source
Dominique DANIEL,-0.1,4.3,4.3,2022-02-11 08:29:44.956777216,ExoClock observation
Yves Jongen,-4.3,1.6,1.6,2022-02-11 08:25:32.956775936,ExoClock observation
Taewoo Kim,-4.6,0.9,0.9,2022-02-06 03:57:45.379191808,ExoClock observation
Yves Jongen,-2.5,1.2,1.2,2022-01-21 14:37:22.646388736,ExoClock observation
Robert Roth,-4.6,1.3,1.3,2022-01-21 14:35:16.646388224,ExoClock observation
Jean-Bernard PIOPPA,-8.0,2.3,2.3,2022-01-21 14:31:52.646368256,ExoClock observation
Cyrille AUMASSON,-0.5,1.6,1.6,2022-01-16 10:11:53.068780288,ExoClock observation
aziz kaeouach,-2.8,3.2,3.2,2022-01-16 10:09:35.068764416,ExoClock observation
Enrique Arce,-3.6,2.0,2.0,2022-01-16 10:08:47.068783360,ExoClock observation
Robert Roth,-4.4,1.3,1.3,2022-01-16 10:07:59.068762112,ExoClock observation
John Savage,-0.1,1.7,1.7,2021-03-16 11:10:11.990377216,ExoClock observation
Manfred Raetz,-3.8,0.9,0.9,2021-02-13 08:21:32.524766976,ExoClock observation
Lorenzo Betti,-1.2,1.7,1.7,2019-02-23 12:42:37.238392576,ExoClock observation
