,index,date,observer,oc,oce,source
0,4,2022-03-02,Filip Walter,-7.5,4.3,ExoClock observation
1,5,2021-03-30,Ana\xc3\xabl W\xc3\xbcnsche,2.0,2.4,ExoClock observation
2,6,2021-03-30,Didier Laloum,-6.4,4.3,ExoClock observation
3,7,2021-02-21,Adam Popowicz,-0.5,2.7,ExoClock observation
4,8,2021-02-21,Nico Montigiani,-6.4,2.4,ExoClock observation
5,9,2021-01-16,Lorenzo Betti,-9.8,1.3,ExoClock observation
6,10,2021-01-02,Martin Smith,-7.5,3.0,ExoClock observation
7,11,2020-05-07,Yves Jongen,0.9,1.2,ExoClock observation
8,12,2020-04-27,Danilo Sedita,5.8,2.7,ExoClock observation
9,13,2020-01-08,Yves Jongen,-6.9,1.9,ExoClock observation
10,0,2017-04-01,Vra\xc5\xa1\xc5\xa5\xc3\xa1k M,-4.0,1.9,ExoClock ETD
11,1,2015-04-21,Martin Z\xc3\xadbar,0.2,1.7,ExoClock ETD
12,2,2014-03-30,Lomoz F.,4.6,1.7,ExoClock ETD
13,3,2014-03-30,Zibar M.,3.6,1.5,ExoClock ETD
14,14,2011-06-18,Faedi et al. 2013,-0.0,0.1,ExoClock literature
