observer,oc,oceu,ocel,date,source
Alvaro fornas,-1.296,4.6368,4.6368,2022-04-06 12:41:47.328000256,ETD
Alvaro Fornas Silva,-3.6,4.3,4.3,2022-04-06 12:40:20.496024064,ExoClock observation
Carmelo Falco,-3.4,3.5,3.5,2020-07-21 11:02:07.315194880,ExoClock observation
Manfred raetz,-15.408,2.4192,2.4192,2020-04-17 13:06:58.464000000,ETD
"Florian signoret, jean-bernard pioppa",-3.744,1.9728,1.9728,2016-06-28 11:58:51.744000256,ETD
Fabio martinelli & marco monaci,80.784,52.8048,52.8048,2014-08-28 11:24:19.008000000,ETD
Stan shadick,-22.464,2.2176,2.2176,2012-05-07 18:25:08.544000256,ETD
Brát l.,1.008,3.2256,3.2256,2011-05-08 13:05:38.976000256,ETD
Lopresti c.,5.184,2.3472,2.3472,2010-07-16 07:57:37.152000256,ETD
Trnka j.,-1.44,6.4368,6.4368,2010-07-13 10:49:47.999999744,ETD
Gary,-11.088,7.776,7.776,2009-08-16 17:12:28.799999744,ETD
Srdoc,-2.736,2.592,2.592,2009-06-14 10:52:36.480000256,ETD
Brát l.,-4.32,2.9376,2.9376,2009-04-06 10:20:21.120000256,ETD
Brát l.,-3.312,2.9952,2.9952,2009-04-03 13:19:59.519999744,ETD
Carter et al 2009,1.584,0.6768,0.6768,2008-03-19 22:35:30.912000000,ETD
Carter et al 2009,-1.296,0.4896,0.4896,2008-02-08 16:14:42.432000000,ETD
Carter et al 2009,0.432,0.3312,0.3312,2007-12-24 15:55:51.456000000,ETD
Carter et al 2009,-0.144,0.432,0.432,2007-12-21 18:54:00.864000256,ETD
Spitzer,-0.576,0.6768,0.6768,2007-08-14 08:55:50.303999744,ETD
,-1.872,2.448,2.448,2007-06-20 17:30:11.520000000,ETD
,1.008,3.024,3.024,2007-06-17 20:31:46.560000000,ETD
,-7.056,10.08,10.08,2007-05-02 20:03:07.200000000,ETD
,3.456,7.2,7.2,2006-05-19 20:38:24.000000000,ETD
,1.296,3.456,3.456,2006-04-26 20:26:00.960000000,ETD
Charbonneau et al. 2006,2.736,3.312,3.312,2005-07-01 18:13:58.080000256,ETD
Charbonneau et al. 2006,1.296,1.44,1.44,2005-07-01 18:12:31.679999872,ETD
Sato et al. 2005,-0.576,1.728,1.728,2005-06-08 18:00:25.920000000,ETD
Charbonneau et al. 2006,-0.288,1.3104,1.3104,2005-06-05 20:59:21.120000000,ETD
,-2.304,3.024,3.024,2005-06-05 20:57:24.480000128,ETD
Charbonneau et al 2006,-2.88,1.728,1.728,2005-06-05 20:56:49.919999744,ETD
,4.32,3.168,3.168,2005-05-13 20:53:48.480000000,ETD
