observer,oc,oceu,ocel,date,source
Wonseok kang,2341.728,1.8,1.8,2021-10-28 05:55:08.832000000,ETD
Manfred raetz,26.64,0.9504,0.9504,2021-10-07 08:58:31.008000000,ETD
Manfred Raetz,0.5,0.9,0.9,2021-10-07 08:57:16.792315648,ExoClock observation
Yves Jongen,1.9,1.7,1.7,2021-09-10 09:40:28.690548224,ExoClock observation
Yves jongen,24.48,1.512,1.512,2021-09-10 09:38:19.967999744,ETD
Naudin jean-louis,32.688,5.4144,5.4144,2021-09-06 13:18:11.520000256,ETD
Jean-Baptiste Marquette,5.5,2.6,2.6,2021-09-06 13:15:45.818875648,ExoClock observation
Adrian Jones,2.3,2.0,2.0,2021-09-06 13:12:33.818911232,ExoClock observation
Patrick Brandebourg,-0.7,2.2,2.2,2021-09-06 13:09:33.818881792,ExoClock observation
Claudio Lopresti,3.1,4.3,4.3,2021-08-14 10:23:28.588805888,ExoClock observation
Paolo Arcangelo Matassa,3.1,5.8,5.8,2021-08-14 10:23:28.588805888,ExoClock observation
Carmelo Falco,3.0,2.6,2.6,2021-08-14 10:23:22.588798208,ExoClock observation
Adam Popowicz,2.7,2.7,2.7,2021-08-14 10:23:04.588815360,ExoClock observation
Carmelo Falco,2.6,1.7,1.7,2021-08-14 10:22:58.588807680,ExoClock observation
Yves Jongen,2.3,2.2,2.2,2021-08-14 10:22:40.588824832,ExoClock observation
Yves jongen,26.352,1.9296,1.9296,2021-08-14 10:22:07.392000256,ETD
Alessandro Marchini,-0.0,1.9,1.9,2021-08-14 10:20:22.588808960,ExoClock observation
Alessandro marchini,23.616,1.656,1.656,2021-08-14 10:19:23.232000000,ETD
Pavel pintr,17.856,4.9248,4.9248,2021-08-14 10:13:39.360000000,ETD
Adrian Jones,-1.2,4.3,4.3,2021-08-10 13:50:51.717129472,ExoClock observation
Tõnis Eenmäe,-0.9,1.3,1.3,2020-10-06 08:05:59.982732032,ExoClock observation
Yves jongen,24.624,3.2544,3.2544,2020-09-28 15:11:37.248000256,ETD
Yves Jongen,-1.1,2.9,2.9,2020-09-28 15:09:10.239381248,ExoClock observation
Anaël Wünsche,-2.2,2.2,2.2,2020-09-05 12:18:11.009290496,ExoClock observation
Anaël wünsche,20.736,1.3824,1.3824,2020-09-05 12:17:52.224000256,ETD
Carmelo Falco,2.8,1.3,1.3,2020-08-09 13:04:58.907558656,ExoClock observation
Mauro Caló,-4.1,1.9,1.9,2020-08-09 12:58:04.907551232,ExoClock observation
Jens-peter jacobsen,15.264,2.9232,2.9232,2019-10-29 10:00:15.840000000,ETD
Martin Crow,-2.1,4.3,4.3,2019-10-02 10:46:36.301455872,ExoClock observation
