date,observer,oc,oceu,ocel,source
2008-05-19 15:42:56.448000256,"Hoyer et al., 2011",-1.152,1.2816,1.2816,ETD
2008-05-11 15:01:35.040000000,"Hoyer et al., 2011",-0.864,2.592,2.592,ETD
2008-05-03 14:21:52.992000256,"Hoyer et al., 2011",1.008,1.3536,1.3536,ETD
2008-04-29 13:59:20.832000256,"Hoyer et al., 2011",-0.72,1.0368,1.0368,ETD
2008-04-25 13:38:40.991999744,"Hoyer et al., 2011",-0.576,0.6912,0.6912,ETD
2006-12-22 19:19:05.951999744,R. f. díaz at al. 2009,-2.016,0.648,0.648,ETD
2006-12-18 18:59:41.279999744,R. f. díaz at al. 2009,-0.576,0.648,0.648,ETD
2006-03-04 18:02:22.559999872,Winn et al 2007,0.0,0.3024,0.3024,ETD
2006-03-04 18:02:18.240000256,Winn et al 2007,0.0,0.288,0.288,ETD
2006-03-04 18:01:59.232000128,Winn et al 2007,-0.288,0.4608,0.4608,ETD
2006-02-20 17:00:17.856000000,Winn et al 2007,0.432,0.504,0.504,ETD
2005-04-09 13:37:20.640000128,P. pietrukowicz et al 2009,1.008,0.72,0.72,ETD
2005-04-09 13:32:00.095999744,R. f. díaz at al. 2009,-4.32,0.792,0.792,ETD
2002-02-24 10:46:05.087999872,U d a l s k i et al 2002,-21.6,,,ETD
