observer,oc,oceu,ocel,date,source
Andrius Bruzas,-1.0,2.6,2.6,2021-07-01 14:15:36.335992832,ExoClock observation
Francois Regembal,-2.9,7.2,7.2,2020-09-29 10:32:09.281294336,ExoClock observation
Francois regembal,-7.776,14.0976,14.0976,2020-09-29 10:23:46.752000000,ETD
Yves Jongen,-1.3,1.9,1.9,2020-08-20 11:57:43.386216704,ExoClock observation
Yves jongen,-7.344,1.368,1.368,2020-08-20 11:48:11.520000256,ETD
Francois Regembal,2.1,2.2,2.2,2020-06-10 11:50:24.017245952,ExoClock observation
Jean plazas,0.432,,,2020-06-10 11:45:19.584000000,ETD
Francois regembal,-7.2,2.9952,2.9952,2020-06-10 11:37:45.120000000,ETD
David molina,-0.0,3.312,3.312,2016-04-23 13:57:50.976000000,ETD
"David molina, antoni vives sureda",-0.576,3.8448,3.8448,2016-04-23 13:57:14.688000256,ETD
Zibar m.,-4.032,4.2624,4.2624,2014-07-24 12:17:39.264000256,ETD
Benni p.,-2.736,2.8656,2.8656,2013-07-16 17:22:56.064000256,ETD
"Mravik j., grnja j.",6.048,7.6464,7.6464,2013-07-03 09:59:41.279999744,ETD
"Gillier ch., montaigut r., golovanow s.,  revol ch., viciana a.",-5.184,1.8576,1.8576,2012-09-13 12:04:19.199999744,ETD
"Tóth j., kornoš l.",-19.296,3.2256,3.2256,2012-07-04 11:39:31.392000256,ETD
Gonzalez j.,8.496,4.104,4.104,2012-05-25 13:31:26.399999744,ETD
"Fortney, et al. 2011",0.0,0.0288,0.0288,2009-06-21 00:12:01.439999744,ETD
