observer,oc,oceu,ocel,date,source
Francois Regembal,5.3,3.6,3.6,2020-06-05 12:38:53.470062848,ExoClock observation
Francois regembal,0.0,2.1312,2.1312,2020-06-05 12:33:37.440000256,ETD
Andreas beck,-0.144,1.4688,1.4688,2020-05-31 09:42:04.607999744,ETD
Anaël Wünsche,1.5,1.7,1.7,2020-05-19 11:04:01.447667712,ExoClock observation
Anaël wünsche,1.008,1.728,1.728,2020-05-19 11:03:35.712000256,ETD
Nosáľ p.,2.448,5.4144,5.4144,2020-04-20 10:54:06.336000000,ETD
Nosáľ p.,3.888,6.8544,6.8544,2020-04-08 12:15:52.992000256,ETD
Yves Jongen,3.0,1.4,1.4,2020-04-08 12:14:57.793883136,ExoClock observation
Anaël Wünsche,1.9,2.3,2.3,2020-04-08 12:13:51.793879040,ExoClock observation
Anaël wünsche,1.296,2.5056,2.5056,2020-04-08 12:13:18.336000000,ETD
Yves jongen,0.576,1.4256,1.4256,2020-04-08 12:12:33.407999744,ETD
Marc bretton,-2.16,0.7632,0.7632,2020-04-08 12:09:50.976000256,ETD
Manfred Raetz,-4.6,1.0,1.0,2020-04-08 12:07:21.793902336,ExoClock observation
Manfred raetz,-5.76,0.7776,0.7776,2020-04-08 12:06:08.064000256,ETD
Martin tylšar,2.592,5.3136,5.3136,2020-04-03 09:23:17.952000000,ETD
"Francesco scaggiante, danilo zardin,marco fiaschi",0.864,1.7568,1.7568,2020-04-03 09:21:28.223999744,ETD
Yves Jongen,-1.1,1.4,1.4,2020-04-03 09:19:32.587162368,ExoClock observation
Yves jongen,-2.16,1.1376,1.1376,2020-04-03 09:18:31.968000000,ETD
Anaël Wünsche,-3.8,2.6,2.6,2020-04-03 09:16:50.587155712,ExoClock observation
Anaël wünsche,-7.056,1.9872,1.9872,2020-04-03 09:13:36.479999744,ETD
Veli-pekka hentunen,2.736,1.8576,1.8576,2020-03-22 10:43:35.616000256,ETD
Nosáľ p.,2.88,4.6944,4.6944,2020-03-17 07:52:28.704000256,ETD
Manfred raetz,-0.0,0.792,0.792,2020-03-15 14:52:25.536000256,ETD
Yves Jongen,-0.4,1.0,1.0,2020-03-15 14:52:04.162548736,ExoClock observation
Yves jongen,-0.72,1.0944,1.0944,2020-03-15 14:51:49.247999744,ETD
Nosáľ p.,-11.376,2.8368,2.8368,2020-03-15 14:41:05.568000000,ETD
Veli-pekka hentunen,1.008,1.1088,1.1088,2020-02-29 06:19:28.991999744,ETD
Yves Jongen,5.3,1.4,1.4,2020-02-27 13:26:42.140160000,ExoClock observation
Yves jongen,1.584,1.3536,1.3536,2020-02-27 13:22:57.504000256,ETD
Yves Jongen,2.9,1.3,1.3,2020-02-22 10:32:58.933408768,ExoClock observation
Yves jongen,0.576,1.0656,1.0656,2020-02-22 10:30:37.152000000,ETD
Yves Jongen,0.7,1.0,1.0,2020-01-29 13:11:17.302086400,ExoClock observation
Yves jongen,0.288,0.9936,0.9936,2020-01-29 13:10:50.015999744,ETD
Diego & mary,-72.0,31.032,31.032,2020-01-05 14:39:03.744000256,ETD
Yves Jongen,2.1,1.4,1.4,2019-12-07 15:42:22.832636928,ExoClock observation
Anaël Wünsche,-0.8,1.4,1.4,2019-12-07 15:39:28.832655360,ExoClock observation
Anaël wünsche,-1.872,1.5264,1.5264,2019-12-07 15:38:20.832000000,ETD
Anaël Wünsche,2.1,0.9,0.9,2019-05-30 13:06:25.781760512,ExoClock observation
Yves jongen,1.584,1.512,1.512,2019-05-30 13:05:57.120000000,ETD
Yves Jongen,1.2,1.6,1.6,2019-05-30 13:05:31.781771776,ExoClock observation
Marc bretton,1.008,0.7344,0.7344,2019-05-30 13:05:17.375999744,ETD
Anaël Wünsche,2.3,0.6,0.6,2019-05-13 11:35:33.759351040,ExoClock observation
Manfred raetz,1.584,0.8064,0.8064,2019-05-13 11:34:47.136000256,ETD
Marc bretton,1.008,0.5904,0.5904,2019-05-13 11:34:14.303999744,ETD
Josep m. bosch,0.288,1.5552,1.5552,2019-05-13 11:33:34.560000256,ETD
Americo watkins,-1.728,0.9792,0.9792,2019-05-13 11:31:31.007999744,ETD
