,date,observer,oc,oce,source
0,2021-04-08,Mauro Cal\xc3\xb3,13.1,5.8,ExoClock observation
1,2021-04-08,T\xc3\xb5nis Eenm\xc3\xa4e,7.4,2.3,ExoClock observation
