date,observer,oc,oce,source
2020-12-13,Yves Jongen,3.5,1.7,ExoClock observation
2020-12-13,Yves Jongen,2.3,2.3,ExoClock observation
2020-12-12,Yves jongen,2.736,2.2032,ETD
2020-12-03,Yves Jongen,2.5,2.2,ExoClock observation
2020-12-03,Yves Jongen,-1.4,2.3,ExoClock observation
2020-12-02,Yves jongen,2.448,2.0448,ETD
2020-03-25,Phil Evans,-0.2,1.3,ExoClock observation
2019-02-19,Edwards et al. 2021,-2.2,3.5,ExoClock literature
2015-01-06,Rodriguez et al. 2016,0.5,11.2,ExoClock literature
2015-01-06,Rodrigues et al. (2015),0.576,10.8,ETD
