,index,date,observer,oc,oce,source
0,11,2021-07-07,Antonio Ferretti,4.5,4.3,ExoClock observation
1,12,2021-07-07,Stephen M. Brincat,4.5,3.0,ExoClock observation
2,13,2021-05-22,Carmelo Falco,-5.8,2.2,ExoClock observation
3,14,2021-04-29,Carmelo Falco,-6.6,1.7,ExoClock observation
4,15,2021-04-09,Carmelo Falco,-0.6,1.9,ExoClock observation
5,16,2021-04-06,Martin Crow,0.5,1.7,ExoClock observation
6,17,2020-11-02,Martin Crow,2.2,3.6,ExoClock observation
7,20,2020-07-13,Carmelo Falco,-4.7,2.0,ExoClock observation
8,19,2020-07-13,Alessandro Nastasi,-3.3,2.6,ExoClock observation
9,18,2020-07-13,Yves Jongen,1.2,2.3,ExoClock observation
10,21,2020-06-20,Carmelo Falco,4.0,1.9,ExoClock observation
11,0,2016-07-21,McLeod et al. 2017,3.5,2.2,ExoClock literature
12,1,2016-07-18,McLeod et al. 2017,-1.6,1.9,ExoClock literature
13,4,2016-06-20,McLeod et al. 2017,-2.0,2.8,ExoClock literature
14,3,2016-06-20,McLeod et al. 2017,2.6,1.6,ExoClock literature
15,2,2016-06-20,McLeod et al. 2017,3.2,2.9,ExoClock literature
16,5,2016-06-05,McLeod et al. 2017,-0.4,1.6,ExoClock literature
17,6,2016-05-31,McLeod et al. 2017,2.9,2.4,ExoClock literature
18,7,2016-04-18,McLeod et al. 2017,1.7,2.5,ExoClock literature
19,10,2016-04-15,McLeod et al. 2017,-1.9,1.2,ExoClock literature
20,9,2016-04-15,McLeod et al. 2017,-1.8,1.2,ExoClock literature
21,8,2016-04-15,McLeod et al. 2017,0.8,1.6,ExoClock literature
