observer,oc,oceu,ocel,date,source
J.g.,-3.888,4.0464,4.0464,2021-07-19 08:41:17.663999744,ETD
Adam Popowicz,-1.5,4.3,4.3,2021-06-30 09:33:04.201347840,ExoClock observation
Mario Morales Aimar,2.7,1.6,1.6,2021-06-11 10:27:52.774256640,ExoClock observation
Mario morales,0.144,1.0224,1.0224,2021-06-11 10:26:32.640000256,ETD
Jean plazas,9.648,4.2912,4.2912,2021-05-12 09:56:08.736000000,ETD
Paul Benni,2.3,0.4,0.4,2021-03-22 20:02:34.209235200,ExoClock observation
Paul benni,-3.024,0.504,0.504,2021-03-22 19:58:23.807999744,ETD
F. lomoz,2.88,1.9296,1.9296,2020-09-17 08:21:59.039999744,ETD
F. lomoz,-0.72,1.584,1.584,2020-09-17 08:18:18.720000000,ETD
Yves Jongen,3.2,1.0,1.0,2020-08-02 12:23:26.227576832,ExoClock observation
Yves jongen,0.576,0.7632,0.7632,2020-08-02 12:21:55.871999744,ETD
Manfred Raetz,0.2,1.3,1.3,2020-05-15 11:51:18.614777344,ExoClock observation
Manfred raetz,-1.44,0.8928,0.8928,2020-05-15 11:50:48.768000000,ETD
Xesco Rubia,3.2,3.2,3.2,2019-09-29 08:05:50.537681664,ExoClock observation
J garlitz,-2.16,0.72,0.72,2019-06-21 18:27:15.551999744,ETD
Manfred raetz,-2.592,0.9648,0.9648,2019-04-19 13:15:25.632000000,ETD
Anaël Wünsche,0.6,0.4,0.4,2018-07-07 12:01:00.096958208,ExoClock observation
Michael irzyk,-1.872,1.9872,1.9872,2018-07-07 11:59:29.759999744,ETD
Marc bretton,-1.872,0.4464,0.4464,2018-07-07 11:59:25.440000256,ETD
Mallonn et al. 2019,0.2,0.3,0.3,2017-07-27 23:20:00.505149440,ExoClock literature
Thomas schaefer,0.576,0.6912,0.6912,2017-07-26 09:25:31.872000000,ETD
Thomas schaefer,-3.6,1.5264,1.5264,2017-07-24 19:25:32.159999744,ETD
Mallonn et al. 2019,0.2,0.2,0.2,2017-06-29 12:35:55.364571392,ExoClock literature
Claudio arena,-1.872,1.3104,1.3104,2017-06-26 08:43:05.663999744,ETD
Mallonn et al. 2019,-0.0,0.4,0.4,2017-06-21 14:56:48.603250944,ExoClock literature
Mallonn et al. 2019,0.1,0.2,0.2,2017-06-18 11:05:20.698736640,ExoClock literature
Mallonn et al. 2019,-0.4,0.1,0.1,2017-06-18 11:04:50.698738432,ExoClock literature
Mallonn et al. 2019,0.2,0.3,0.3,2017-06-16 21:09:39.746523392,ExoClock literature
Mallonn et al. 2019,0.1,0.3,0.3,2017-06-10 13:26:25.937471744,ExoClock literature
M. hoecherl,18.576,3.6576,3.6576,2017-06-07 09:54:12.096000256,ETD
Mallonn et al. 2019,0.2,0.3,0.3,2017-06-07 09:34:58.032957440,ExoClock literature
Mallonn et al. 2019,-0.1,0.3,0.3,2017-06-07 09:34:40.032934144,ExoClock literature
Mallonn et al. 2019,-0.3,0.3,0.3,2017-06-01 01:51:20.223955200,ExoClock literature
Mallonn et al. 2019,-0.0,0.2,0.2,2017-05-30 11:55:51.271676928,ExoClock literature
Mallonn et al. 2019,0.0,0.2,0.2,2017-05-22 14:16:56.510412032,ExoClock literature
Mallonn et al. 2019,0.5,0.3,0.3,2017-05-19 10:25:52.605888256,ExoClock literature
Mallonn et al. 2019,0.1,0.2,0.2,2017-05-19 10:25:28.605897728,ExoClock literature
Mallonn et al. 2019,-0.2,0.3,0.3,2017-05-19 10:25:10.605874688,ExoClock literature
Thomas schaefer,17.424,1.0512,1.0512,2017-05-17 20:47:53.375999744,ETD
Mallonn et al. 2019,-0.1,0.3,0.3,2017-05-05 05:03:14.035573248,ExoClock literature
Mallonn et al. 2019,0.1,0.2,0.2,2017-05-03 15:07:39.083327744,ExoClock literature
Mallonn et al. 2019,0.6,0.3,0.3,2017-04-22 13:37:40.417538816,ExoClock literature
Mallonn et al. 2019,0.0,0.2,0.2,2017-04-22 13:37:04.417532928,ExoClock literature
Mallonn et al. 2019,-0.6,0.6,0.6,2017-04-17 19:49:07.560743936,ExoClock literature
Mallonn et al. 2019,0.6,0.3,0.3,2017-04-03 14:28:16.990446848,ExoClock literature
Mallonn et al. 2019,-0.1,0.2,0.2,2017-04-03 14:27:34.990433280,ExoClock literature
Mallonn et al. 2019,0.1,0.2,0.2,2017-03-26 16:48:52.229183488,ExoClock literature
"Š. gajdoš, j. šubjak",-2.448,0.5184,0.5184,2016-05-30 10:08:19.679999744,ETD
David molina,0.576,0.7056,0.7056,2016-05-03 13:23:07.007999744,ETD
Antonio Marino,0.8,3.0,3.0,2015-07-19 08:14:22.849326336,ExoClock observation
A. marino,-2.448,2.1024,2.1024,2015-07-19 08:11:46.463999744,ETD
Matthieu bachschmidt,-1.296,1.5408,1.5408,2015-07-11 10:34:01.920000256,ETD
Fran campos,-3.312,0.5472,0.5472,2015-07-11 10:32:02.688000000,ETD
Ramon naves,-6.768,1.152,1.152,2015-06-03 12:09:46.656000000,ETD
Yenal öğmen,-2.592,0.6768,0.6768,2015-05-31 08:22:24.096000000,ETD
Matthieu bachschmidt,-1.152,2.6496,2.6496,2015-05-23 10:44:58.560000000,ETD
Martin zíbar,-2.736,1.08,1.08,2015-03-19 15:36:16.416000000,ETD
Benni p.,-0.576,1.1232,1.1232,2014-04-02 19:14:36.383999744,ETD
