observer,oc,oceu,ocel,date,source
jean pascal vignes,5.3,3.0,3.0,2022-04-04 19:08:38.995200000,ExoClock observation
jean pascal vignes,3.7,1.7,1.7,2022-04-01 13:52:36.864014336,ExoClock observation
Yves Jongen,2.9,1.6,1.6,2022-03-03 14:41:53.683180544,ExoClock observation
Stephane Ferratfiat,10.7,2.4,2.4,2022-02-18 17:51:57.158402560,ExoClock observation
Anaël Wünsche,11.6,1.6,1.6,2022-01-20 18:42:55.977618944,ExoClock observation
Yves Jongen,7.4,2.0,2.0,2022-01-20 18:38:43.977617920,ExoClock observation
Yves Jongen,14.9,1.9,1.9,2022-01-12 17:40:08.649632256,ExoClock observation
Yves Jongen,11.6,3.5,3.5,2021-07-24 13:14:32.630417408,ExoClock observation
Yves Jongen,2.1,1.4,1.4,2021-04-07 17:31:27.235200512,ExoClock observation
Yves Jongen,2.3,1.7,1.7,2021-03-01 17:15:38.726404352,ExoClock observation
Yves Jongen,7.6,1.3,1.3,2021-02-21 16:14:51.398370304,ExoClock observation
Yves Jongen,7.0,1.7,1.7,2021-02-16 20:22:36.201629440,ExoClock observation
Yves Jongen,9.4,1.6,1.6,2021-01-02 19:02:54.364802304,ExoClock observation
