name,mass,mass_e1,mass_e2,sma,sma_e1,sma_e2,per,per_e1,per_e2,ecc,ecc_e1,ecc_e2,inc,inc_e1,inc_e2,arg,arg_e1,arg_e2,mean,mean_e1,mean_e2
WASP-8,1.34,0.26,-0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WASP-8 b,0.002425171426,0.000315081327,-0.000315081327,0.0801,0.0015,-0.0015,0.022337357973990418,4.106776180698152e-08,-4.106776180698152e-08,0.31,0.0,0.0,0.025307274153917828,0.0027925268031909274,-0.0027925268031909274,4.78595460835625,0.0014660765716752368,-0.0014311699866353504,1.0669536707648246,1.0717534824798198,1.0621538766966356
WASP-8 c,0.009022783454999999,0.002157829694,-0.0009929835759999999,5.28,0.63,-0.34,11.835728952772074,2.026009582477755,-1.0403832991101984,0.0,0.0,0.0,0.0,0.0,0.0,1.5707963267948966,0.0,0.0,1.5522650724191067,2.2277182499206347,0.5683782087079302
