name,mass,mass_e1,mass_e2,sma,sma_e1,sma_e2,per,per_e1,per_e2,ecc,ecc_e1,ecc_e2,inc,inc_e1,inc_e2,arg,arg_e1,arg_e2
star1,1.32,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
planet1,0.0007762458133282311,3.003489616124104e-07,3.003489616124104e-07,0,0,0,0.00798425735797399,0.0,0.0,0.0133,0.0,0.0,0.0,0.0,0.0,0.0,0,0
planet2,0.013017632741595455,0.0,0.0,0,0,0,0.85527446954141,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0,0
