# Parameter Name     	 	 Median       	 	 Upper 68 CI  	 	 Lower 68 CI 
q1_TESS            	 	 0.2166463439 	 	 0.0854286497 	 	 0.0473136292
q2_TESS            	 	 0.6521020074 	 	 0.2290977309 	 	 0.2551294032
rho                	 	 600.3726320470 	 	 19.1478870029 	 	 19.1583704883
mflux_TESS         	 	 -0.0000441976 	 	 0.0000857910 	 	 0.0000803725
sigma_w_TESS       	 	 136.8874892629 	 	 12.4262367220 	 	 14.0935026162
GP_sigma_TESS      	 	 0.0008125140 	 	 0.0000459302 	 	 0.0000412752
GP_rho_TESS        	 	 0.2192348306 	 	 0.0116098090 	 	 0.0110535100
r1_p1              	 	 0.7688074292 	 	 0.0078396764 	 	 0.0088688222
r2_p1              	 	 0.1196168063 	 	 0.0010391519 	 	 0.0011986921
p_p1               	 	 0.1196168063 	 	 0.0010391519 	 	 0.0011986921
b_p1               	 	 0.6532111438 	 	 0.0117595146 	 	 0.0133032333
inc_p1             	 	 87.0826105129 	 	 0.0864775072 	 	 0.0833348265
T_p1_TESS_0        	 	 2458358.9206433124 	 	 0.0003513875 	 	 0.0003477279
T_p1_TESS_1        	 	 2458367.0780034754 	 	 0.0004281048 	 	 0.0004341835
T_p1_TESS_2        	 	 2458375.2383275400 	 	 0.0003393809 	 	 0.0003398820
T_p1_TESS_90       	 	 2459093.2071359348 	 	 0.0003360207 	 	 0.0003312994
T_p1_TESS_92       	 	 2459109.5239330088 	 	 0.0003201347 	 	 0.0003269622
P_p1               	 	 8.1587393235 	 	 0.0000036444 	 	 0.0000035969
a_p1               	 	 12.8313226641 	 	 0.1349886610 	 	 0.1379596400
t0_p1              	 	 2458358.9202555390 	 	 0.0002146242 	 	 0.0002271021
