Object,Const,Time span from,Time span till,Time span from - till,Last changes (days)red if less than 1 week ago
Hat-p-67 b,Her,2,2012-02,2019-05,26. jun 2019  (1028)
Hat-p-7 b,Cyg,53,2006-02,2021-04,17. may 2021  (337)
Hat-p-8 b,Peg,50,2007-12,2020-10,15. nov 2020  (520)
Hat-p-9 b,Aur,51,2007-11,2021-12,07. jan 2022  (101)
Hats-1 b,Crt,11,2010-02,2022-02,14. feb 2022  (64)
Hats-10 b,Sgr,0,,,
Hats-11 b,Sgr,3,2013-10,2021-07,16. sep 2021  (214)
Hats-12 b,Sgr,1,2014-05,2014-05,18. mar 2016  (2223)
Hats-18 b,Hya,9,2015-03,2020-12,07. feb 2021  (435)
Hats-19 b,Ant,1,2014-01,2014-01,05. jul 2016  (2114)
Hats-20 b,Cen,1,2015-04,2015-04,05. jul 2016  (2114)
Hats-21 b,Pav,4,2015-03,2020-05,25. may 2020  (693)
Hats-22 b,Hya,5,2015-02,2022-02,15. mar 2022  (34)
Hats-23 b,Tel,5,2015-02,2021-05,26. jun 2021  (297)
Hats-24 b,Pav,10,2015-01,2021-09,10. dec 2021  (130)
Hats-25 b,Hya,3,2014-07,2021-05,17. may 2021  (337)
Hats-26 b,Ant,3,2014-07,2022-03,15. mar 2022  (34)
Hats-27 b,Cen,1,2015-01,2015-01,05. jun 2016  (2143)
Hats-28 b,Tel,2,2015-01,2016-07,27. aug 2016  (2061)
Hats-29 b,Tel,4,2015-01,2021-06,26. jun 2021  (297)
Hats-30 b,Tuc,7,2013-12,2021-10,10. dec 2021  (130)
Hats-31 b,Hya,5,2014-10,2022-02,15. mar 2022  (34)
Hats-32 b,Aqr,1,2013-06,2013-06,05. jul 2016  (2114)
Hats-33 b,Tel,9,2013-07,2021-09,16. sep 2021  (214)
Hats-34 b,Tuc,7,2013-12,2022-01,07. jan 2022  (101)
Hats-35 b,Pav,9,2014-11,2021-07,16. sep 2021  (214)
Hats-36 b,Sgr,1,2015-09,2015-09,14. jun 2017  (1769)
Hats-39 b,Pup,3,2015-10,2021-02,07. feb 2021  (435)
Hats-40 b,Cma,1,2014-11,2014-11,03. jul 2018  (1386)
Hats-41 b,Cma,4,2014-05,2022-01,14. feb 2022  (64)
Hats-42 b,Pup,6,2014-04,2022-03,15. mar 2022  (34)
Hats-43 b,Col,4,2016-09,2021-10,10. dec 2021  (130)
Hats-44 b,Col,2,2014-09,2020-10,15. nov 2020  (520)
Hats-45 b,Cma,5,2014-03,2022-03,15. mar 2022  (34)
Hats-46 b,Phe,2,2015-12,2021-09,16. sep 2021  (214)
Hats-5 b,Eri,6,2015-01,2022-01,14. feb 2022  (64)
Hats-50 b,Sgr,1,2014-07,2014-07,02. jan 2018  (1567)
Hats-51 b,Cma,4,2015-01,2022-02,15. mar 2022  (34)
Hats-52 b,Pyx,15,2014-09,2022-02,14. feb 2022  (64)
Hats-53 b,Hya,5,2015-08,2022-02,15. mar 2022  (34)
Hats-6 b,Lep,6,2015-01,2021-11,10. dec 2021  (130)
Hats-7 b,Vir,2,2013-08,2022-03,15. mar 2022  (34)
Hd149026 b,Her,28,2005-05,2020-04,25. may 2020  (693)
Hd17156 b,Cas,32,2007-09,2014-11,11. dec 2018  (1225)
Hd189733 b,Vul,263,,,
Hd209458 b,Peg,86,2000-04,2021-11,10. dec 2021  (130)
Hd80606 b,Uma,15,2009-02,2021-01,15. mar 2022  (34)
Hd97658 b,Leo,1,2011-03,2011-03,13. sep 2011  (3871)
K2-114 b,Cnc,1,2015-05,2015-05,07. nov 2017  (1623)
K2-115 b,Cnc,4,2015-05,2022-02,15. mar 2022  (34)
K2-30 b,Tau,21,2015-02,2020-11,03. dec 2020  (501)
K2-34 b,Cnc,12,2015-04,2022-01,07. jan 2022  (101)
Kelt-1 b,And,92,2011-12,8584-10,07. jan 2022  (101)
Kelt-10 b,Tel,4,2015-02,2021-06,16. sep 2021  (214)
Kelt-11 b,Sex,1,2015-01,2015-01,20. dec 2016  (1946)
Kelt-15 b,Car,3,2015-01,2020-12,07. feb 2021  (435)
Kelt-16 b,Cyg,81,2015-05,2021-09,16. sep 2021  (214)
Kelt-17 b,Cnc,11,2015-07,2022-02,14. feb 2022  (64)
Kelt-2a b,Aur,3,2014-01,2021-11,10. dec 2021  (130)
Kelt-3 b,Lmi,36,2013-01,2021-03,09. apr 2021  (374)
Kelt-4a b,Leo,16,2012-09,2021-04,07. jan 2022  (101)
Kelt-6 b,Com,1,2013-02,2013-02,29. oct 2015  (2364)
Kelt-7 b,Aur,23,2013-03,2022-01,14. feb 2022  (64)
Kelt-8 b,Her,14,2014-08,2020-10,15. nov 2020  (520)
Kelt-9 b,Cyg,5,2015-03,2020-04,25. may 2020  (693)
Kepler-10 c,Dra,1,2009-05,2009-05,28. may 2011  (3979)
Kepler-11 c,Cyg,30,2009-05,2010-09,03. feb 2011  (4093)
Kepler-11 d,Cyg,15,2009-05,2010-09,03. feb 2011  (4093)
Kepler-11 e,Cyg,12,2009-06,2010-07,03. feb 2011  (4093)
Kepler-11 f,Cyg,9,2009-06,2010-07,03. feb 2011  (4093)
Kepler-11 g,Cyg,3,2009-10,2010-06,03. feb 2011  (4093)
Kepler-12 b,Dra,13,2009-06,2020-09,18. oct 2020  (547)
Kepler-13 b,Lyr,0,,,
Kepler-14 b,Lyr,1,2009-05,2009-05,29. jun 2011  (3947)
Kepler-15 b,Cyg,15,2009-05,2020-09,28. sep 2020  (568)
Kepler-16a b,Cyg,4,2009-05,2012-07,11. dec 2018  (1225)
Kepler-16b b,Cyg,4,2009-05,2012-07,11. dec 2018  (1225)
Kepler-17 b,Cyg,107,2009-12,2021-09,10. dec 2021  (130)
Kepler-18 b,Cyg,1,2009-05,2009-05,08. oct 2011  (3846)
Kepler-18 c,Cyg,75,2009-05,2010-12,09. oct 2011  (3845)
Kepler-18 d,Cyg,38,2009-05,2016-06,27. aug 2016  (2061)
Kepler-19 b,Lyr,67,2009-05,2012-07,06. sep 2012  (3512)
Kepler-20 c,Lyr,2,2009-05,2015-07,08. oct 2015  (2384)
Kepler-20 d,Lyr,1,2009-06,2009-06,05. jan 2012  (3757)
Kepler-21 b,Lyr,1,2009-09,2009-09,19. jan 2012  (3742)
Kepler-22 b,Lyr,0,,,
Kepler-4 b,Dra,15,2009-05,2010-08,02. sep 2010  (4247)
Kepler-448 b,Cyg,1,2009-05,2009-05,28. sep 2015  (2394)
Kepler-5 b,Cyg,24,2009-05,2020-07,26. aug 2020  (601)
Kepler-6 b,Cyg,47,2009-05,2021-11,07. jan 2022  (101)
Kepler-7 b,Lyr,14,2009-05,2020-09,28. sep 2020  (568)
Kepler-8 b,Lyr,21,2009-05,2020-09,28. sep 2020  (568)
Kepler-9 b,Lyr,9,2009-05,2009-12,28. aug 2010  (4251)
Kepler-9 c,Lyr,6,2009-05,2009-11,28. aug 2010  (4251)
Koi 0135 b,Lyr,16,2009-05,2021-05,26. jun 2021  (297)
Koi 0193 b,Kep,0,,,
Koi 0194 b,Kep,7,2011-03,2013-09,11. dec 2018  (1225)
Koi 0195 b,Kep,2,2019-07,2020-08,26. aug 2020  (601)
Koi 0196 b,Cyg,26,2009-05,2021-09,10. dec 2021  (130)
Koi 0204 b,Cyg,3,2009-05,2012-08,11. dec 2018  (1225)
Koi 0428 b,Cyg,1,2009-06,2009-06,19. jan 2011  (4107)
Kps-1 b,Uma,83,2016-01,2022-03,15. mar 2022  (34)
Lupus-tr3 b,Lup,1,2006-05,2006-05,24. aug 2008  (4985)
Mascara-1 b,Equ,4,2015-03,2020-10,15. nov 2020  (520)
Mascara-2 b,Cyg,5,2015-02,2019-07,09. dec 2019  (862)
Ogle-tr-10 b,Sgr,6,2001-06,2006-07,24. aug 2008  (4985)
Ogle-tr-111 b,Car,14,2002-02,2008-05,03. dec 2012  (3424)
Ogle-tr-113 b,Car,17,2002-02,2018-02,11. dec 2018  (1225)
Ogle-tr-132 b,Car,12,2002-02,2009-05,02. feb 2011  (4093)
Ogle-tr-182 b,Car,2,2006-09,2007-06,24. aug 2008  (4985)
Ogle-tr-211 b,Car,1,2005-02,2005-02,24. aug 2008  (4985)
Ogle-tr-56 b,Sgr,28,2001-06,2009-07,03. oct 2011  (3851)
Ogle-tr-l9 b,Car,8,1997-01,2010-04,12. jul 2010  (4298)
Qatar-1 b,Dra,485,2010-11,2022-02,15. mar 2022  (34)
Qatar-10 b,Dra,0,,,
Qatar-2 b,Vir,95,2011-03,2021-06,16. sep 2021  (214)
Qatar-3 b,And,29,2015-10,2021-10,10. dec 2021  (130)
Qatar-4 b,And,95,2015-10,2021-12,14. feb 2022  (64)
Qatar-5 b,And,34,2015-11,2021-09,10. dec 2021  (130)
Qatar-8 b,Uma,3,2022-02,2022-02,15. mar 2022  (34)
Qatar-9 b,Uma,23,2021-03,2022-02,15. mar 2022  (34)
Toi 00294.01 b,Aqr,0,,,
Toi 00392.01 b,Cet,0,,,
Toi 00469.01 b,Lep,0,,,
Toi 00498.01 b,Hya,0,,,
Toi 00503.01 b,Cnc,0,,,
Toi 00522.01 b,Hya,0,,,
Toi 00624.01 b,Ori,0,,,
Toi 00627.01 b,Ori,0,,,
Toi 01012.01 b,Cmi,0,,,
Toi 1131.1 b,Dra,0,,,
Toi 1168.01 b,Cyg,12,2020-08,2021-10,10. dec 2021  (130)
Toi 1168.1 b,Cyg,0,,,
Toi 1173.1 b,Umi,0,,,
Toi 1181.1 b,Dra,0,,,
Toi 1186.1 b,Dra,0,,,
Toi 1259.1 b,Dra,0,,,
Toi 1268.1 b,Uma,0,,,
Toi 1295.1 b,Dra,0,,,
Toi 1297.01 b,Dra,8,2020-07,2021-04,17. may 2021  (337)
Toi 1302.1 b,Dra,0,,,
Toi 1305.01 b,Dra,0,,,
Toi 1311.1 b,Cyg,0,,,
Toi 1320.1 b,Cyg,0,,,
Toi 1355.01 b,Cep,6,2020-07,2021-12,07. jan 2022  (101)
Toi 1397.1 b,Cep,0,,,
Toi 1420.1 b,Cep,0,,,
Toi 1431.01 b,Cep,1,2020-09,2020-09,18. oct 2020  (547)
Toi 1455.01 b,Cep,6,2020-08,2021-09,16. sep 2021  (214)
Toi 1461.1 b,And,0,,,
Toi 1480.01 b,Cep,7,2020-08,2021-07,16. sep 2021  (214)
Toi 1482.1 b,And,0,,,
Toi 1498.1 b,Cyg,0,,,
Toi 1516.01 b,Cep,17,2020-08,2021-12,07. jan 2022  (101)
Toi 1518.01 b,Cep,9,2020-08,2021-12,07. jan 2022  (101)
Toi 1568.01 b,Cas,0,,,
Toi 1582.1 b,Cas,0,,,
Toi 1775.1 b,Lmi,0,,,
Toi 1822.1 b,Uma,0,,,
Toi 2025.1 b,Dra,0,,,
Toi 2031.1 b,Cep,0,,,
Toi 2040.1 b,Cep,0,,,
Toi 2147.1 b,Cam,0,,,
Toi 2152.1 b,Cep,0,,,
Toi 2154.1 b,Cep,0,,,
Toi 2157.1 b,Her,0,,,
Tres-1 b,Lyr,231,2003-07,8431-06,14. feb 2022  (64)
Tres-2 b,Dra,331,2006-08,2021-11,10. dec 2021  (130)
Tres-3 b,Her,561,2007-03,3057419-06,14. feb 2022  (64)
Tres-4 b,Her,58,2007-05,2021-07,16. sep 2021  (214)
Tres-5 b,Cyg,268,2012-10,2021-12,07. jan 2022  (101)
Wasp-1 b,And,91,2004-05,2021-10,14. feb 2022  (64)
Wasp-10 b,Peg,202,2007-09,2021-11,14. feb 2022  (64)
Wasp-100 b,Ret,5,2012-12,2021-10,10. dec 2021  (130)
Wasp-101 b,Cma,5,2012-08,2021-01,07. feb 2021  (435)
Wasp-102 b,Peg,8,2013-08,2021-10,10. dec 2021  (130)
Wasp-103 b,Her,61,2014-04,2021-08,16. sep 2021  (214)
Wasp-104 b,Leo,67,2015-02,2021-05,17. may 2021  (337)
Wasp-105 b,Phe,1,2013-11,2013-11,18. jan 2017  (1917)
Wasp-106 b,Leo,1,2013-12,2013-12,26. oct 2015  (2366)
Wasp-107 b,Vir,10,2013-08,2021-05,17. may 2021  (337)
Wasp-108 b,Cen,6,2013-05,2020-05,25. may 2020  (693)
Wasp-109 b,Lib,2,2013-03,2021-02,27. feb 2021  (416)
Wasp-110 b,Sgr,3,2013-07,2020-06,21. jun 2020  (667)
Wasp-111 b,Cap,1,2012-12,2012-12,26. oct 2015  (2366)
Wasp-112 b,Psa,1,2013-07,2013-07,26. oct 2015  (2366)
Wasp-113 b,Boo,7,2015-06,2021-03,09. apr 2021  (374)
Wasp-114 b,Peg,38,2014-01,2021-11,10. dec 2021  (130)
Wasp-117 b,Eri,1,2013-08,2013-08,28. oct 2015  (2365)
Wasp-118 b,Psc,2,2014-05,2021-10,10. dec 2021  (130)
Wasp-119 b,Ret,8,2013-09,2021-07,16. sep 2021  (214)
Wasp-12 b,Aur,306,2008-02,2022-03,15. mar 2022  (34)
Wasp-120 b,Hor,2,2014-05,2021-11,10. dec 2021  (130)
Wasp-121 b,Pup,9,2013-12,2022-01,14. feb 2022  (64)
Wasp-122 b,Pup,9,2014-01,2021-02,27. feb 2021  (416)
Wasp-123 b,Sgr,8,2014-07,2021-08,16. sep 2021  (214)
Wasp-124 b,Psa,8,2015-01,2021-10,10. dec 2021  (130)
Wasp-126 b,Hyi,8,2014-08,2022-03,15. mar 2022  (34)
Wasp-127 b,Sex,5,2015-08,2021-04,17. may 2021  (337)
Wasp-129 b,Cen,5,2015-01,2022-03,15. mar 2022  (34)
Wasp-13 b,Lyn,33,2008-01,2021-04,17. may 2021  (337)
Wasp-130 b,Cen,3,2014-09,2021-07,16. sep 2021  (214)
Wasp-131 b,Cen,2,2014-09,2021-03,09. apr 2021  (374)
Wasp-132 b,Lup,5,2014-02,2021-08,16. sep 2021  (214)
Wasp-133 b,Mic,6,2015-04,2020-10,15. nov 2020  (520)
Wasp-134 b,Peg,0,,,
Wasp-136 b,Cet,4,2014-04,2021-11,10. dec 2021  (130)
Wasp-137 b,Cet,0,,,
Wasp-138 b,Cet,8,2015-10,2021-11,10. dec 2021  (130)
Wasp-139 b,Eri,5,2015-06,2021-12,10. dec 2021  (130)
Wasp-14 b,Boo,69,2007-12,2021-05,26. jun 2021  (297)
Wasp-140 b,Eri,14,2014-09,2021-11,10. dec 2021  (130)
Wasp-141 b,Eri,5,2014-12,2021-11,10. dec 2021  (130)
Wasp-142 b,Hya,4,2014-12,2021-04,17. may 2021  (337)
Wasp-143 b,Hya,6,2019-02,2022-02,15. mar 2022  (34)
Wasp-146 b,Aqr,4,2019-10,2021-10,10. dec 2021  (130)
Wasp-15 b,Cen,10,2008-04,2021-04,17. may 2021  (337)
Wasp-151 b,Psc,7,2016-12,2021-07,16. sep 2021  (214)
Wasp-153 b,Lyr,6,2004-05,2021-07,16. sep 2021  (214)
Wasp-156 b,Cet,5,2008-07,2021-08,16. sep 2021  (214)
Wasp-157 b,Vir,10,2015-08,2021-07,16. sep 2021  (214)
Wasp-16 b,Vir,21,2008-04,2021-05,17. may 2021  (337)
Wasp-161 b,Pup,1,2016-01,2016-01,26. aug 2018  (1332)
Wasp-163 b,Oph,6,2017-06,2021-07,16. sep 2021  (214)
Wasp-167 b,Cen,2,2013-10,2021-03,09. apr 2021  (374)
Wasp-17 b,Sco,30,2006-06,2021-07,16. sep 2021  (214)
Wasp-170 b,Pyx,7,2017-02,2022-01,14. feb 2022  (64)
Wasp-18 b,Phe,19,2007-04,2021-10,10. dec 2021  (130)
Wasp-19 b,Vel,67,2008-11,2022-03,15. mar 2022  (34)
Wasp-2 b,Del,171,2006-09,2021-11,10. dec 2021  (130)
Wasp-20 b,Cet,4,2014-09,2021-09,16. sep 2021  (214)
Wasp-21 b,Peg,30,2008-10,2021-09,10. dec 2021  (130)
Wasp-22 b,Eri,6,2008-11,2021-11,10. dec 2021  (130)
Wasp-23 b,Pup,23,2010-05,2022-03,15. mar 2022  (34)
Wasp-24 b,Vir,42,2009-08,2021-05,16. sep 2021  (214)
Wasp-25 b,Hya,15,2010-03,2021-07,16. sep 2021  (214)
Wasp-26 b,Cet,20,2009-10,2021-11,10. dec 2021  (130)
Wasp-28 b,Psc,32,2009-10,2020-09,18. oct 2020  (547)
Wasp-29 b,Phe,11,2007-05,2021-10,10. dec 2021  (130)
Wasp-3 b,Lyr,213,2007-02,2021-08,16. sep 2021  (214)
Wasp-31 b,Crt,15,2009-12,2021-06,26. jun 2021  (297)
Wasp-32 b,Psc,30,2009-11,2020-09,28. sep 2020  (568)
Wasp-33 b,And,210,2007-03,2022-01,14. feb 2022  (64)
Wasp-34 b,Crt,11,2008-06,2022-02,15. mar 2022  (34)
Wasp-35 b,Eri,24,2010-11,2022-02,15. mar 2022  (34)
Wasp-36 b,Hya,67,2011-01,2022-03,15. mar 2022  (34)
Wasp-37 b,Vir,23,2010-05,2022-02,15. mar 2022  (34)
Wasp-38 b,Her,4,2010-05,2019-07,09. dec 2019  (862)
Wasp-39 b,Vir,27,2010-05,2021-05,17. may 2021  (337)
Wasp-4 b,Phe,69,2006-08,2021-12,10. dec 2021  (130)
Wasp-41 b,Cen,15,2010-05,2021-06,26. jun 2021  (297)
Wasp-42 b,Cen,2,2011-03,2016-06,27. aug 2016  (2061)
Wasp-43 b,Sex,193,2010-11,2022-03,15. mar 2022  (34)
Wasp-44 b,Cet,31,2010-08,2021-10,10. dec 2021  (130)
