name,priority,total_observations,recent_observations,ra_j2000,dec_j2000,v_mag,r_mag,gaia_g_mag,depth_mmag,duration_hours,t0_bjd_tdb,t0_unc,period_days,period_unc,current_oc_min,min_telescope_inches,expected_transit_snr_tess
WASP-37b,low,8,0,14:47:46.5618,+01:03:53.802,12.704,12.87,12.542,18.89,3.14,2457524.4596,0.0003,3.5774793,8e-07,-0.0,7.75,26.65
WASP-38b,alert,2,0,16:15:50.3652,+10:01:57.284,9.39,9.22,9.21,9.4,4.66,2455335.9213,0.0007,6.87181,5e-05,62.8,5.0,93.69
WASP-39b,low,5,1,14:29:18.4151,-03:26:40.203,12.09,12.17,11.887,27.26,2.88,2455342.9696,0.00014,4.05528,7e-07,0.0,5.74,56.97
WASP-41b,low,9,2,12:42:28.4949,-30:38:23.527,11.63,11.39,11.282,24.98,2.61,2455996.67927,0.0001,3.0524015,4e-07,0.47,5.0,68.69
WASP-42b,low,3,3,12:51:55.5580,-42:04:25.094,12.57,11.708,11.969,21.38,2.9,2455650.56728,0.00015,4.9816819,1.1e-06,-0.5,5.0,45.09
WASP-43b,low,67,22,10:19:38.0089,-09:48:22.603,12.4,12.08,11.907,29.73,1.23,2456047.051715,2.2e-05,0.81347414,3e-08,-0.31,5.56,47.99
WASP-44b,low,10,0,00:15:36.7694,-11:56:17.286,12.9,13.17,12.896,19.47,2.24,2456006.39613,9e-05,2.4238107,3e-07,1.8,8.99,19.59
WASP-45b,low,12,2,00:20:56.9940,-35:59:53.747,11.8,12.2,12.049,10.92,1.71,2458254.7392,0.0003,3.1260777,8e-07,0.0,8.76,17.49
WASP-46b,low,16,1,21:14:56.8596,-55:52:18.460,12.9,13.06,12.852,21.92,1.65,2456842.7141,0.00017,1.43037222,2.3e-07,-0.68,8.5,19.22
WASP-47b,medium,9,3,22:04:48.7262,-12:01:08.000,11.99,11.82,11.789,14.01,3.57,2456354.946,0.0003,4.1591496,1e-06,0.7,5.15,34.18
WASP-48b,low,23,0,19:24:38.9615,+55:28:23.331,11.65,11.61,11.523,10.69,3.11,2456176.98991,0.00012,2.1436364,3e-07,0.7,6.53,26.95
