name,priority,total_observations,recent_observations,ra_j2000,dec_j2000,v_mag,r_mag,gaia_g_mag,depth_mmag,duration_hours,t0_bjd_tdb,t0_unc,period_days,period_unc,current_oc_min,min_telescope_inches,expected_transit_snr_tess
WASP-172b,medium,3,0,13:17:44.1223,-47:14:15.277,10.99,10.846,11.01,8.97,5.41,2457032.2625,0.0005,5.477433,7e-06,-1.3,6.03,37.35
WASP-173Ab,low,1,0,23:36:40.3765,-34:36:40.562,11.15,11.5,11.397,15.74,2.32,2457288.85931,0.0002,1.3866532,3e-07,1.3,5.0,37.63
WASP-174b,low,3,0,13:03:10.5634,-41:23:05.412,11.79,11.44,11.683,7.02,2.05,2457465.9336,0.0004,4.2337,3e-06,0.9,10.43,13.76
WASP-175b,low,4,4,11:05:16.5422,-34:07:21.976,12.959,12.497,12.707,12.47,2.69,2457143.78964,0.00034,3.0652907,1.1e-06,5.6,7.67,14.75
WASP-176b,high,0,0,20:54:44.9567,+09:10:44.724,12.01,11.727,11.939,8.26,5.08,2458234.17788,0.0007,3.89905,0.0001,0.0,8.02,21.06
WASP-177b,medium,0,0,22:19:11.3367,-01:50:03.079,12.46,12.13,12.072,11.28,1.61,2457994.3722,0.00028,3.071722,1e-06,0.0,8.42,18.01
WASP-178b,medium,0,0,15:09:04.8930,-42:42:17.789,9.95,9.871,9.912,14.63,3.49,2456927.06917,0.00047,3.3448285,1.2e-06,0.0,5.0,76.84
WASP-180Ab,low,7,7,08:13:34.1536,-01:58:57.985,10.68,11.01,10.913,15.78,3.2,2457763.315,0.0001,3.409264,1e-06,0.7,5.0,55.18
WASP-181b,low,2,2,01:47:10.3796,+03:07:58.897,12.91,12.81,12.783,20.62,3.07,2457747.66978,0.00035,4.5195064,3.4e-06,-4.8,7.53,24.76
WASP-182b,medium,0,0,20:46:41.5598,-41:49:15.202,11.98,11.685,11.917,4.54,2.6,2458018.66098,0.00067,3.3769848,2.4e-06,0.0,16.22,8.99
WASP-183b,low,8,8,10:55:09.3535,-00:44:13.811,13.01,12.94,12.815,24.9,2.09,2457796.1853,0.0024,4.1117771,5.1e-06,-9.8,8.01,26.6
WASP-184b,medium,0,0,13:58:04.0876,-30:20:53.271,12.72,12.7,12.567,8.71,4.8,2457630.0088,0.001,5.1817,1e-05,0.0,10.71,14.91
WASP-185b,alert,1,1,14:16:14.3136,-19:32:32.208,11.019,10.86,10.895,7.55,4.67,2456935.9828,0.002,9.38755,2e-05,-67.5,7.33,34.73
WASP-186b,high,0,0,01:15:58.8508,+21:37:01.006,10.81,10.459,10.651,6.13,2.7,2456237.12028,0.0009,5.026799,1.2e-05,0.0,9.37,23.67
WASP-187b,medium,0,0,01:09:53.9653,+25:40:54.103,10.29,9.915,10.132,3.8,5.94,2455197.3537,0.002,5.147878,5e-06,0.0,12.45,29.06
WASP-190b,low,1,1,00:30:50.2350,-40:34:24.319,11.65,11.454,11.633,7.74,4.54,2457799.1256,0.0007,5.367753,4e-06,7.3,8.11,21.3
WASP-192b,low,3,3,14:54:38.0915,-38:44:40.344,12.67,12.59,12.535,9.16,2.33,2457271.3339,0.0017,2.8786765,2.8e-06,-12.4,11.16,11.8
Wolf503b,high,0,0,13:47:23.4437,-06:08:12.729,10.28,9.631,9.898,0.88,1.32,2458185.3609,0.0005,6.00118,0.00011,0.0,71.86,3.93
XO-1b,low,17,0,16:02:11.8463,+28:10:10.419,11.25,10.81,11.004,23.26,2.97,2455385.51978,5e-05,3.941505,1.8e-07,-0.36,5.0,78.26
XO-2Nb,low,40,10,07:48:06.4726,+50:13:32.921,11.138,10.669,10.972,14.65,2.71,2456923.17711,0.00015,2.61585978,1.9e-07,-0.06,5.0,49.59
XO-3b,low,23,8,04:21:52.7044,+57:49:01.892,9.85,9.567,9.739,8.73,2.94,2455024.34346,0.00013,3.191525,3e-07,-0.6,5.91,53.34
XO-4b,low,14,4,07:21:33.1602,+58:16:05.111,10.81,10.322,10.513,10.15,4.43,2455682.20389,0.00023,4.1250679,6e-07,-0.4,5.09,51.37
XO-5b,low,11,2,07:46:51.9615,+39:05:40.460,12.1,11.95,11.95,13.28,3.12,2455469.7912,0.0003,4.1877562,6e-07,0.2,5.79,27.91
XO-6b,low,25,6,06:19:10.3709,+73:49:39.591,10.25,10.016,10.191,14.17,2.9,2458843.93943,0.00012,3.7649939,1.3e-06,-0.6,5.0,68.14
XO-7b,low,6,6,18:29:54.9290,+85:13:59.575,10.52,10.245,10.457,10.06,2.79,2457917.47503,0.00045,2.8641424,4.3e-06,-6.0,5.53,44.01
piMenc,high,0,0,05:37:09.8851,-80:28:08.831,5.67,5.278,5.491,0.35,2.97,2458325.5031,0.0008,6.26834,0.00024,0.0,132.92,11.62
